"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:21 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,0.0207073,0.02070095,0.02072073,0.0146179,0.01281176,0.09475964,0.009018189,0.001515789,0.03803872,0.02748695,0.01980089,0.001802126,0.002956118,0.0004974969,0.006032513,0.003054053,0.0142768,0.06175688,0.02932492,0.01109063,0.0006336418,0.1425154,0.001223131,0.06385566,0.03389066,0.002753303,0.01834193,0.003093149,0.02704428,0.0001828345,0.04923798,0.001403279,0.006787435,0.01265648,0.003014176,0.02023242,0.04302524,0.07257502,0.01536002,0.01362164,0.08562949,0.1080867,0.03557435,0.02655012,0.0251673,0.1825613,0.2571228,0.1153252,0.1711248,0.007036256,0.05541218,0.1652971,0.02017589,0.1256965,0.01742343,0.0448204,0.6314157,2.087053,4.664786,2.093958,0.518838,0.1476317,0.7142224,0.2872026,0.07289787,1.03093,0.08299275,0.06391916,0.5123778,0.2395113,12.25135,18.19873,16.19061,18.30441,31.9806,158.8531,25.8608,102.5704
2,0.02072393,0.0207137,0.02076324,0.01464662,0.01281553,0.09499376,0.009039334,0.001532328,0.03809391,0.02748485,0.02012526,0.00180542,0.003119285,0.000495042,0.006071033,0.003110156,0.01466523,0.06194482,0.02957641,0.01108661,0.0006628928,0.14446,0.001275618,0.06499241,0.03393695,0.002817397,0.01861751,0.003150549,0.02745696,0.0001853002,0.04959149,0.001407109,0.006881112,0.01272622,0.003118665,0.0202484,0.04386321,0.07336447,0.01535234,0.01367343,0.08629286,0.1089629,0.03573098,0.02665088,0.02539511,0.183364,0.2605341,0.1163277,0.1734673,0.007078308,0.05626831,0.1665389,0.02056646,0.1276575,0.01747134,0.04485434,0.6369169,2.364207,5.088306,2.23651,0.5544727,0.1554204,0.7317171,0.2894065,0.07354013,1.086562,0.08755462,0.06929883,0.537103,0.23096,12.72828,18.78056,18.97841,18.85445,39.62254,180.0315,30.50362,112.5793
3,0.02076133,0.02075288,0.02085802,0.0146988,0.01282554,0.09538292,0.009066993,0.001550672,0.038185,0.0275068,0.02051019,0.001812445,0.003293404,0.0004926769,0.006124584,0.00317051,0.01507436,0.06242425,0.02989463,0.0111014,0.0007091459,0.1478209,0.001353106,0.06664582,0.03411858,0.002906576,0.01897202,0.003224481,0.02802958,0.0001890277,0.05009656,0.001412674,0.006990582,0.01283286,0.003299835,0.02058282,0.04501401,0.07471557,0.01541602,0.01379169,0.08748998,0.1106584,0.03606864,0.02686511,0.02577539,0.1864672,0.2670734,0.117739,0.1786758,0.007137155,0.05748139,0.1697,0.02144592,0.1325491,0.01757975,0.04541228,0.6520165,2.86031,5.868423,2.496455,0.6166521,0.1700025,0.7686783,0.2956361,0.07579254,1.210368,0.09636356,0.08005987,0.5904814,0.2258917,13.72874,20.15757,25.78966,20.61494,55.11986,198.7152,39.42656,131.2643
4,0.02082843,0.0208423,0.02104047,0.01478441,0.01284435,0.09597825,0.009104471,0.001571612,0.03832394,0.02756393,0.0209756,0.001824007,0.003482194,0.0004904256,0.00620103,0.003236404,0.01551551,0.0632733,0.0303165,0.01114933,0.0007631139,0.1522515,0.001437844,0.06884754,0.03444761,0.003005393,0.01938712,0.003302805,0.02870566,0.0001934423,0.05067109,0.001421238,0.007128982,0.01298762,0.003497166,0.02108115,0.04633273,0.07687777,0.01555459,0.01397167,0.08933503,0.1130976,0.03664216,0.02720773,0.02633825,0.1916717,0.2765083,0.1196978,0.1868236,0.007222803,0.05905906,0.1742208,0.02273024,0.1407839,0.01778154,0.04676232,0.6770974,3.214175,6.567601,2.747533,0.6768156,0.1842085,0.8202832,0.3034776,0.07958997,1.456881,0.1068867,0.09231541,0.6537341,0.2244256,14.95158,21.65463,32.00599,22.04825,56.21795,188.8857,38.24252,137.9199
5,0.02092063,0.02099153,0.02129252,0.01489684,0.01287042,0.0967375,0.009151178,0.001594995,0.03850528,0.02765759,0.02149725,0.00183822,0.003686627,0.0004882742,0.006296256,0.003307319,0.01599268,0.0643675,0.03082717,0.01122562,0.0008094757,0.1572518,0.00149941,0.07147104,0.03483572,0.003097344,0.01983378,0.003370525,0.02942169,0.0001977667,0.05126863,0.00143237,0.007299967,0.0131751,0.003660302,0.02159915,0.04768113,0.07949162,0.01574037,0.01417734,0.09157415,0.1158169,0.03739995,0.02761824,0.02702077,0.1972926,0.2869934,0.1220178,0.1960442,0.007327515,0.0607476,0.1788288,0.02406481,0.1505121,0.01803543,0.04851613,0.7051274,3.306472,6.97965,2.920508,0.7197958,0.1943555,0.8695275,0.3099466,0.08363692,1.799571,0.1144976,0.09972402,0.6960667,0.2239995,15.92031,22.49029,32.63064,22.09225,49.25067,172.1163,32.45148,132.728
6,0.0210254,0.02118903,0.02155923,0.01502106,0.01289845,0.09756542,0.00920291,0.001619761,0.03871027,0.02777887,0.02202447,0.001851556,0.003904388,0.0004861726,0.006398083,0.003381015,0.01649876,0.06547476,0.03136576,0.01131234,0.0008325103,0.1618184,0.001510772,0.07412241,0.03516616,0.003161707,0.02025804,0.003407624,0.0300694,0.0002007766,0.05178479,0.001444408,0.007496183,0.01336596,0.003730811,0.02193742,0.04884667,0.08187818,0.01591721,0.01435675,0.0937904,0.1181955,0.03821749,0.02800779,0.02769297,0.2011497,0.2955429,0.1243702,0.203531,0.0074333,0.06221635,0.1819006,0.02497339,0.1583333,0.01825984,0.04997055,0.7257355,3.148062,6.973507,2.961708,0.7337044,0.1976732,0.8947988,0.3122,0.08619466,2.113538,0.1158662,0.09868582,0.6980209,0.2217904,16.25056,22.19064,26.76679,20.57479,36.57566,140.2821,23.84521,116.0968
7,0.02112709,0.02140464,0.02178634,0.01513917,0.01292297,0.09835334,0.009253957,0.001644477,0.03891424,0.02790934,0.02250919,0.001861174,0.004131146,0.0004840667,0.006493579,0.003454788,0.01701837,0.06638795,0.03186595,0.01138796,0.0008308444,0.1653279,0.001474979,0.07644314,0.03535642,0.003193059,0.02062566,0.003410606,0.03058957,0.000201914,0.05218105,0.001455392,0.007700979,0.01353282,0.003703801,0.02202321,0.04973406,0.08350543,0.01604141,0.01447856,0.09563772,0.119876,0.03896002,0.0283113,0.02824399,0.2021757,0.3003684,0.1264512,0.2075483,0.007522769,0.06326664,0.1828856,0.02526365,0.1619129,0.01839582,0.0506223,0.7329211,2.868938,6.653498,2.890121,0.7229739,0.1952887,0.8888689,0.3101445,0.08648353,2.260941,0.1116083,0.09112662,0.6657103,0.2161011,15.9915,21.03199,19.25034,18.31645,26.84251,115.7814,17.61154,96.72052
8,0.0212153,0.02160804,0.02195339,0.01524142,0.01294128,0.09903834,0.009300577,0.001668133,0.03910019,0.02803183,0.02293216,0.001866457,0.004363441,0.0004819261,0.006576488,0.003526945,0.01753757,0.06703468,0.03229717,0.01144019,0.000814635,0.1676464,0.001416702,0.07822475,0.03540451,0.003199948,0.0209307,0.003390502,0.03098411,0.000201415,0.05247081,0.001464226,0.007898348,0.01366496,0.003617501,0.02189846,0.05036604,0.0843297,0.01610548,0.01454626,0.09702181,0.1209251,0.03955943,0.02852169,0.02864629,0.200872,0.3018827,0.1281494,0.208377,0.00758953,0.06393556,0.1824462,0.02509804,0.1615955,0.01844329,0.05046286,0.7286029,2.645202,6.234757,2.765363,0.7010985,0.1903916,0.8621173,0.3057509,0.0850169,2.228167,0.1047578,0.08172252,0.6201898,0.2073362,15.47891,19.6466,13.64779,16.31208,23.04788,115.5711,15.64859,83.99332
9,0.02128315,0.02177877,0.02205883,0.01532276,0.01295151,0.09957777,0.009340445,0.001689923,0.03925408,0.02813228,0.02328196,0.001866972,0.004598512,0.0004797252,0.006643829,0.003595886,0.0180461,0.06737717,0.03264548,0.01146432,0.000791277,0.1685154,0.00135359,0.07928564,0.03531798,0.003184956,0.02115962,0.003351255,0.03123295,0.0001994142,0.05262847,0.0014705,0.00807721,0.01375657,0.003489489,0.02155777,0.05070542,0.08448319,0.01609949,0.01455628,0.09789735,0.1213168,0.03996827,0.02863544,0.02887982,0.1976318,0.3003075,0.1294313,0.2063499,0.007633511,0.06426372,0.1807309,0.02454147,0.1580938,0.01842223,0.04967194,0.7152159,2.493661,5.74395,2.600433,0.6701047,0.1833711,0.8212875,0.2992555,0.08225702,2.074024,0.09629948,0.07167636,0.5674655,0.1965309,14.78257,18.14016,9.23327,14.52344,18.60848,105.2534,13.23884,73.11671
10,0.02132606,0.02190413,0.02210248,0.0153793,0.0129527,0.09994388,0.009372017,0.001709325,0.03936664,0.02820133,0.02355245,0.001862581,0.004834353,0.0004774488,0.006693354,0.003660504,0.01853724,0.0673968,0.03290213,0.01145693,0.0007670788,0.1680263,0.001298596,0.07961351,0.03510287,0.0031535,0.02131284,0.003298962,0.03134356,0.0001962811,0.05267209,0.001473925,0.00822957,0.01380337,0.003345504,0.02104276,0.05077268,0.08406606,0.01602191,0.01450964,0.09824654,0.1210797,0.04015692,0.02865034,0.02893555,0.192865,0.2960949,0.1302857,0.201908,0.007654786,0.06428505,0.1780181,0.02369553,0.152178,0.01834633,0.04837955,0.6949877,2.412517,5.235983,2.41555,0.6341636,0.1751592,0.7728708,0.2912865,0.07860608,1.850853,0.08720782,0.06189683,0.512627,0.1844003,13.99189,16.64383,5.998978,12.998,15.4115,97.93819,11.65604,64.52043
