"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,CatchFleetGroup

year,fleet,group,value
1980,1,71,0.02701744
1980,1,72,0.0001718096
1980,1,74,9.048516E-06
1980,2,9,5.56529E-07
1980,2,12,2.493123E-08
1980,2,15,5.174516E-07
1980,2,18,0.0005370618
1980,2,23,9.998587E-07
1980,2,26,3.250695E-05
1980,2,28,5.108913E-08
1980,2,30,1.498512E-08
1980,2,33,2.9025E-05
1980,2,35,6.537787E-08
1980,2,40,0.0007442992
1980,2,41,1.411933E-05
1980,2,42,0.0004775772
1980,2,46,0.001874858
1980,2,47,0.0003573941
1980,2,48,4.797181E-05
1980,2,64,3.074351E-06
1980,2,72,3.980623E-06
1980,3,15,4.829549E-05
1980,3,18,1.02101E-05
1980,3,26,2.080672E-07
1980,3,28,2.405202E-07
1980,3,30,1.839631E-09
1980,3,33,5.047839E-06
1980,3,35,6.539062E-08
1980,3,40,6.735739E-06
1980,3,41,0.0001257151
1980,3,46,6.776728E-06
1980,3,47,0.006183818
1980,4,15,3.695408E-05
1980,5,9,2.389356E-05
1980,5,12,3.465443E-06
1980,6,12,8.247096E-06
1980,6,18,0.007825128
1980,6,23,0.0001537865
1980,6,40,0.0002694302
1980,6,41,0.002141468
1980,6,42,0.004153446
1980,6,46,0.0007741326
1980,6,47,0.0110756
1980,6,48,0.001318889
1980,6,54,3.765743E-06
1980,6,57,0.003761401
1980,6,58,0.001517413
1980,6,64,0.03977727
1980,6,72,0.0001925753
1980,7,40,2.020718E-05
1980,7,46,2.033016E-05
1980,7,47,1.079682E-05
1980,7,49,0.0002052911
1980,7,64,3.074351E-06
1980,7,72,0.0002728981
1980,8,28,2.06221E-07
1980,8,33,6.309795E-07
1980,8,40,3.704661E-05
1980,8,46,9.14859E-05
1980,8,47,0.001546477
1980,8,72,0.01409632
1980,9,9,0.0002660672
1980,9,12,1.208283E-05
1980,9,18,0.001428702
1980,9,25,0.0003476103
1980,9,41,0.01539103
1980,9,42,0.01586948
1980,9,43,0.0003960218
1980,9,44,2.538642E-07
1980,9,46,0.0002080283
1980,9,47,0.01778225
1980,9,48,6.548654E-06
1980,9,49,7.280429E-05
1980,9,52,0.000116516
1980,9,54,3.38534E-05
1980,9,57,0.002066054
1980,9,58,0.00187559
1980,9,63,1.088708E-05
1980,9,64,0.001180756
1980,9,65,0.001276316
1980,9,66,0.0001193894
1980,9,72,3.076701E-05
1980,9,73,0.002255698
1980,10,15,0.003085072
1980,10,18,0.0006092022
1980,10,41,0.001366048
1980,10,46,3.388369E-06
1980,10,54,0.0003426817
1980,10,57,0.002418795
1980,10,58,2.898862E-06
1980,10,64,0.0001783124
1980,10,72,6.822438E-06
1980,11,41,3.529844E-06
1980,11,42,4.539332E-05
1980,11,46,6.776728E-06
1980,11,47,0.0001763486
1980,11,66,3.240549E-05
1980,11,72,0.001071433
1980,12,9,8.009819E-07
1980,12,12,0.0001678555
1980,12,18,3.715262E-06
1980,12,21,9.167692E-05
1980,12,23,0.0017129
1980,12,35,0.001054876
1980,12,42,0.008130051
1980,12,44,0.0001202221
1980,12,46,0.00129764
1980,12,47,0.02890679
1980,12,48,0.0007514129
1980,12,64,0.000207428
1980,12,66,0.0001095628
1980,12,71,0.006071597
1980,12,72,0.02023285
1980,13,9,2.564001E-06
1980,13,12,2.734802E-07
1980,13,15,7.493553E-06
1980,13,18,6.424858E-05
1980,13,23,3.193178E-10
1980,13,25,8.154647E-08
1980,13,26,3.123839E-05
1980,13,28,1.317002E-06
1980,13,33,1.870418E-06
1980,13,34,8.126897E-06
1980,13,35,2.027563E-09
1980,13,40,1.795592E-05
1980,13,41,6.430046E-07
1980,13,42,3.592801E-06
1980,13,44,3.503653E-07
1980,13,45,2.873578E-06
1980,13,46,0.0001659627
1980,13,47,9.441827E-05
1980,13,48,3.845739E-07
1980,13,49,1.566529E-05
1980,13,52,1.187671E-05
1980,13,53,5.779692E-07
1980,13,57,1.399264E-08
1980,14,9,0.0003077447
1980,14,15,0.0001615467
1980,14,18,0.001499453
1980,14,25,0.0001375006
1980,14,26,1.710296E-05
1980,14,28,1.715085E-05
1980,14,34,0.001577015
1980,14,40,0.00026034
1980,14,41,0.0009208855
1980,14,42,0.008636695
1980,14,43,1.849195E-06
1980,14,44,0.001149599
1980,14,45,4.511904E-05
1980,14,46,0.001769273
1980,14,47,0.003722642
1980,14,48,0.000271834
1980,14,49,0.0001064854
1980,14,52,0.001394684
1980,14,53,2.217228E-05
1980,14,57,3.804408E-06
1980,14,63,3.704908E-08
1980,14,64,0.001146274
1980,14,65,0.0005767142
1980,15,9,1.92094E-05
1980,15,12,4.211085E-05
1980,15,15,0.000154696
1980,15,18,0.001960493
1980,15,25,5.601536E-06
1980,15,26,0.0001126983
1980,15,28,3.268994E-06
1980,15,33,3.815421E-06
1980,15,34,0.001790823
1980,15,35,6.414184E-08
1980,15,40,0.000249617
1980,15,41,0.0006186804
1980,15,42,0.0009611995
1980,15,43,2.749008E-08
1980,15,44,4.632891E-06
1980,15,45,0.0002782109
1980,15,46,0.0005454875
1980,15,47,9.225312E-05
1980,15,48,3.670723E-05
1980,15,49,1.613058E-05
1980,15,52,1.199745E-06
1980,15,53,7.209328E-07
1980,15,57,4.299875E-08
1980,16,9,0.0005402769
1980,16,12,3.659453E-05
1980,16,15,0.0001101899
1980,16,18,0.003515636
1980,16,25,5.362607E-05
1980,16,26,0.0005483979
1980,16,28,3.268994E-06
1980,16,33,0.0001386787
1980,16,34,0.001396205
1980,16,35,6.414184E-08
1980,16,40,0.0007821738
1980,16,41,0.0005452374
1980,16,42,0.01588693
1980,16,44,0.001166885
1980,16,45,0.005225133
1980,16,46,0.008303334
1980,16,47,0.01364913
1980,16,48,0.001618203
1980,16,49,0.0002195146
1980,16,52,0.001574166
1980,16,53,6.855427E-05
1980,16,57,6.557512E-05
1980,16,64,0.0003162182
1980,16,65,1.36743E-06
1981,1,71,0.02606944
1981,1,72,0.0001481208
1981,1,74,9.376077E-06
1981,2,9,5.77161E-07
1981,2,12,2.371617E-08
1981,2,15,4.721412E-07
1981,2,18,0.0005208004
1981,2,23,8.431128E-07
1981,2,26,3.232953E-05
1981,2,28,4.95832E-08
1981,2,30,1.390946E-08
1981,2,33,0.0001880654
1981,2,35,5.194934E-08
1981,2,40,0.0007196548
1981,2,41,1.43193E-05
1981,2,42,0.0004645256
1981,2,46,0.001623988
1981,2,47,0.0003160464
1981,2,48,0.0001422105
1981,2,64,3.268012E-06
1981,2,72,3.219379E-06
1981,3,15,5.034062E-05
1981,3,18,1.131063E-05
1981,3,26,2.36394E-07
1981,3,28,2.666657E-07
1981,3,30,1.9507E-09
1981,3,33,3.736388E-05
1981,3,35,5.935734E-08
1981,3,40,7.439978E-06
1981,3,41,0.0001456481
1981,3,46,6.705704E-06
1981,3,47,0.006246977
1981,4,15,3.276992E-05
1981,5,9,2.384864E-05
1981,5,12,3.172732E-06
1981,6,12,8.454887E-06
1981,6,18,0.008177948
1981,6,23,0.0001397563
1981,6,40,0.0002807559
1981,6,41,0.002340588
1981,6,42,0.00435392
1981,6,46,0.000722663
1981,6,47,0.01055545
1981,6,48,0.004213663
1981,6,54,3.116805E-06
1981,6,57,0.003408683
1981,6,58,0.001177965
1981,6,64,0.04556917
1981,6,72,0.0001678523
1981,7,40,1.998149E-05
1981,7,46,1.800946E-05
1981,7,47,9.764382E-06
1981,7,49,0.000178266
1981,7,64,3.342174E-06
1981,7,72,0.0002257184
1981,8,28,1.914798E-07
1981,8,33,3.911433E-06
1981,8,40,3.426962E-05
1981,8,46,7.58146E-05
1981,8,47,0.001308371
1981,8,72,0.01090713
1981,9,9,0.0002662051
1981,9,12,1.108882E-05
1981,9,18,0.00133661
1981,9,25,0.0003229252
1981,9,41,0.01505882
1981,9,42,0.01489171
1981,9,43,0.0003847609
1981,9,44,2.42801E-07
1981,9,46,0.0001738413
1981,9,47,0.01517072
1981,9,48,1.872895E-05
1981,9,49,5.963839E-05
1981,9,52,0.0001038747
1981,9,54,2.508253E-05
1981,9,57,0.001676056
1981,9,58,0.001303397
1981,9,63,8.028162E-06
1981,9,64,0.001210894
1981,9,65,0.0009362922
1981,9,66,5.029264E-05
1981,9,72,2.400613E-05
1981,9,73,0.0009434212
1981,10,15,0.004267788
1981,10,18,0.0008956615
1981,10,41,0.002100433
1981,10,46,4.449802E-06
1981,10,54,0.0003990059
1981,10,57,0.003083653
1981,10,58,3.165815E-06
1981,10,64,0.0002873737
1981,10,72,8.365575E-06
1981,11,41,2.838714E-06
1981,11,42,3.501197E-05
1981,11,46,4.654716E-06
1981,11,47,0.0001236613
1981,11,66,1.122018E-05
1981,11,72,0.0006871388
1981,12,9,1.252431E-06
1981,12,12,0.0002407455
1981,12,18,5.431984E-06
1981,12,21,0.0001254163
1981,12,23,0.002177715
1981,12,35,0.001263783
1981,12,42,0.01192288
1981,12,44,0.0001796963
1981,12,46,0.001694692
1981,12,47,0.0385412
1981,12,48,0.003358506
1981,12,64,0.0003324448
1981,12,66,7.21287E-05
1981,12,71,0.008286378
1981,12,72,0.02467175
1981,13,9,2.573043E-06
1981,13,12,2.517366E-07
1981,13,15,6.616214E-06
1981,13,18,6.028789E-05
1981,13,23,2.605492E-10
1981,13,25,7.598331E-08
1981,13,26,3.006293E-05
1981,13,28,1.236835E-06
1981,13,33,1.172722E-05
1981,13,34,2.671599E-06
1981,13,35,1.55899E-09
1981,13,40,1.67998E-05
1981,13,41,6.310171E-07
1981,13,42,3.381572E-06
1981,13,44,3.361041E-07
1981,13,45,2.676007E-06
1981,13,46,0.0001391056
1981,13,47,8.079399E-05
1981,13,48,1.103176E-06
1981,13,49,1.287096E-05
1981,13,52,1.061999E-05
1981,13,53,4.520698E-07
1981,13,57,1.138545E-08
1981,14,9,0.0003805929
1981,14,15,0.0001757767
1981,14,18,0.001733968
1981,14,25,0.0001578916
1981,14,26,2.028408E-05
1981,14,28,1.984964E-05
1981,14,34,0.0006388865
1981,14,40,0.0003001778
1981,14,41,0.001113715
1981,14,42,0.01001785
1981,14,43,2.220749E-06
1981,14,44,0.001359065
1981,14,45,5.178043E-05
1981,14,46,0.001827555
1981,14,47,0.003925687
1981,14,48,0.0009609711
1981,14,49,0.0001078212
1981,14,52,0.001536898
1981,14,53,2.137236E-05
1981,14,57,3.814864E-06
1981,14,63,3.376969E-08
1981,14,64,0.001453047
1981,14,65,0.0005229487
1981,15,9,1.936127E-05
1981,15,12,3.893191E-05
1981,15,15,0.0001371804
1981,15,18,0.001847664
1981,15,25,5.242172E-06
1981,15,26,0.000108931
1981,15,28,3.083407E-06
1981,15,33,2.402646E-05
1981,15,34,0.0005912762
1981,15,35,4.953378E-08
1981,15,40,0.0002345641
1981,15,41,0.0006097961
1981,15,42,0.0009086367
1981,15,43,2.69056E-08
1981,15,44,4.46371E-06
1981,15,45,0.0002602135
1981,15,46,0.0004592088
1981,15,47,7.928578E-05
1981,15,48,0.0001057567
1981,15,49,1.331109E-05
1981,15,52,1.077477E-06
1981,15,53,5.663525E-07
1981,15,57,3.513966E-08
1981,16,9,0.0005445482
1981,16,12,3.383202E-05
1981,16,15,9.771354E-05
1981,16,18,0.003313307
1981,16,25,5.018572E-05
1981,16,26,0.0005300657
1981,16,28,3.083407E-06
1981,16,33,0.0008732874
1981,16,34,0.0004609851
1981,16,35,4.953378E-08
1981,16,40,0.0007350056
1981,16,41,0.0005374078
1981,16,42,0.01501815
1981,16,44,0.001124273
1981,16,45,0.004887119
1981,16,46,0.006990011
1981,16,47,0.01173058
1981,16,48,0.004662184
1981,16,49,0.0001811453
1981,16,52,0.00141374
1981,16,53,5.385506E-05
1981,16,57,5.358964E-05
1981,16,64,0.0003266839
1981,16,65,1.01054E-06
1982,1,71,0.02747981
1982,1,72,0.0001751469
1982,1,74,1.16292E-05
1982,2,9,5.631933E-07
1982,2,12,2.101542E-08
1982,2,15,3.246077E-07
