"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,CatchFleetGroup

timestep,fleet,group,value
1,1,71,0.001926587
1,1,72,1.368873E-05
1,1,74,7.979256E-07
1,2,9,4.548747E-08
1,2,12,2.034275E-09
1,2,15,4.054109E-08
1,2,18,4.24593E-05
1,2,23,7.480897E-08
1,2,26,2.441984E-06
1,2,28,4.008591E-09
1,2,30,1.176466E-09
1,2,33,2.403443E-06
1,2,35,4.832225E-09
1,2,40,5.950312E-05
1,2,41,1.080687E-06
1,2,42,3.693279E-05
1,2,46,0.0001485483
1,2,47,2.690667E-05
1,2,48,3.981427E-06
1,2,64,2.573674E-07
1,2,72,3.171516E-07
1,3,15,3.783836E-06
1,3,18,8.071951E-07
1,3,26,1.56304E-08
1,3,28,1.887186E-08
1,3,30,1.444274E-10
1,3,33,4.179912E-07
1,3,35,4.833167E-09
1,3,40,5.384897E-07
1,3,41,9.622178E-06
1,3,46,5.369321E-07
1,3,47,0.0004655531
1,4,15,2.895263E-06
1,5,9,1.952921E-06
1,5,12,2.827645E-07
1,6,12,6.729256E-07
1,6,18,0.0006186428
1,6,23,1.150624E-05
1,6,40,2.153964E-05
1,6,41,0.0001639069
1,6,42,0.0003212011
1,6,46,6.133589E-05
1,6,47,0.0008338343
1,6,48,0.0001094614
1,6,54,2.703153E-07
1,6,57,0.000289089
1,6,58,9.80602E-05
1,6,64,0.003329929
1,6,72,1.534322E-05
1,7,40,1.615467E-06
1,7,46,1.610794E-06
1,7,47,8.128463E-07
1,7,49,1.515335E-05
1,7,64,2.573674E-07
1,7,72,2.174285E-05
1,8,28,1.618066E-08
1,8,33,5.224886E-08
1,8,40,2.961697E-06
1,8,46,7.248589E-06
1,8,47,0.0001164276
1,8,72,0.001123108
1,9,9,2.17468E-05
1,9,12,9.859043E-07
1,9,18,0.0001129511
1,9,25,2.826763E-05
1,9,41,0.001178022
1,9,42,0.001227245
1,9,43,3.073735E-05
1,9,44,2.017703E-08
1,9,46,1.648245E-05
1,9,47,0.00133875
1,9,48,5.435065E-07
1,9,49,5.373972E-06
1,9,52,9.143602E-06
1,9,54,2.43009E-06
1,9,57,0.0001587901
1,9,58,0.0001212068
1,9,63,8.147023E-07
1,9,64,9.884622E-05
1,9,65,9.806146E-05
1,9,66,6.126093E-06
1,9,72,2.451327E-06
1,9,73,0.0001765853
1,10,15,0.000241708
1,10,18,4.81626E-05
1,10,41,0.0001045567
1,10,46,2.684665E-07
1,10,54,2.459863E-05
1,10,57,0.0001859006
1,10,58,1.873339E-07
1,10,64,1.492731E-05
1,10,72,5.4357E-07
1,11,41,2.701726E-07
1,11,42,3.510431E-06
1,11,46,5.369321E-07
1,11,47,1.327653E-05
1,11,66,1.662786E-06
1,11,72,8.536519E-05
1,12,9,6.546765E-08
1,12,12,1.369624E-05
1,12,18,2.93723E-07
1,12,21,6.387937E-06
1,12,23,0.0001281584
1,12,35,7.796822E-05
1,12,42,0.0006287264
1,12,44,9.555205E-06
1,12,46,0.0001028143
1,12,47,0.002176268
1,12,48,6.236362E-05
1,12,64,1.736471E-05
1,12,66,5.621874E-06
1,12,71,0.0004329596
1,12,72,0.001612029
1,13,9,2.095667E-07
1,13,12,2.231474E-08
1,13,15,5.871019E-07
1,13,18,5.079395E-06
1,13,23,2.389122E-11
1,13,25,6.631348E-09
1,13,26,2.346688E-06
1,13,28,1.033355E-07
1,13,33,1.548818E-07
1,13,34,6.425299E-07
1,13,35,1.498617E-10
1,13,40,1.435489E-06
1,13,41,4.921526E-08
1,13,42,2.778444E-07
1,13,44,2.78469E-08
1,13,45,2.194756E-07
1,13,46,1.314952E-05
1,13,47,7.108346E-06
1,13,48,3.191777E-08
1,13,49,1.156317E-06
1,13,52,9.320252E-07
1,13,53,4.211718E-08
1,13,57,1.075428E-09
1,14,9,2.515328E-05
1,14,15,1.26568E-05
1,14,18,0.0001185445
1,14,25,1.118153E-05
1,14,26,1.284807E-06
1,14,28,1.345702E-06
1,14,34,0.0001246822
1,14,40,2.081292E-05
1,14,41,7.048414E-05
1,14,42,0.0006679071
1,14,43,1.435258E-07
1,14,44,9.136965E-05
1,14,45,3.446063E-06
1,14,46,0.0001401826
1,14,47,0.0002802617
1,14,48,2.25609E-05
1,14,49,7.860112E-06
1,14,52,0.0001094479
1,14,53,1.615716E-06
1,14,57,2.923943E-07
1,14,63,2.772457E-09
1,14,64,9.595959E-05
1,14,65,4.430992E-05
1,15,9,1.570066E-06
1,15,12,3.436054E-06
1,15,15,1.212006E-05
1,15,18,0.0001549936
1,15,25,4.555161E-07
1,15,26,8.466113E-06
1,15,28,2.564941E-07
1,15,33,3.159396E-07
1,15,34,0.0001415863
1,15,35,4.740867E-09
1,15,40,1.995567E-05
1,15,41,4.73535E-05
1,15,42,7.433305E-05
1,15,43,2.133651E-09
1,15,44,3.682205E-07
1,15,45,2.124895E-05
1,15,46,4.321994E-05
1,15,47,6.945342E-06
1,15,48,3.046522E-06
1,15,49,1.190662E-06
1,15,52,9.415007E-08
1,15,53,5.253509E-08
1,15,57,3.304743E-09
1,16,9,4.415912E-05
1,16,12,2.985948E-06
1,16,15,8.633113E-06
1,16,18,0.0002779409
1,16,25,4.360865E-06
1,16,26,4.11967E-05
1,16,28,2.564941E-07
1,16,33,1.148342E-05
1,16,34,0.000110387
1,16,35,4.740867E-09
1,16,40,6.2531E-05
1,16,41,4.173221E-05
1,16,42,0.001228594
1,16,44,9.274358E-05
1,16,45,0.0003990807
1,16,46,0.0006578877
1,16,47,0.001027585
1,16,48,0.000134303
1,16,49,1.620324E-05
1,16,52,0.0001235327
1,16,53,4.995617E-06
1,16,57,5.039888E-06
1,16,64,2.647201E-05
1,16,65,1.05062E-07
2,1,71,0.002001588
2,1,72,1.412637E-05
2,1,74,8.219029E-07
2,2,9,4.555346E-08
2,2,12,2.037993E-09
2,2,15,4.079996E-08
2,2,18,4.25885E-05
2,2,23,7.801918E-08
2,2,26,2.498831E-06
2,2,28,4.082979E-09
2,2,30,1.192332E-09
2,2,33,2.405226E-06
2,2,35,4.999739E-09
2,2,40,5.972935E-05
2,2,41,1.089059E-06
2,2,42,3.72322E-05
2,2,46,0.0001492014
2,2,47,2.726366E-05
2,2,48,3.9873E-06
2,2,64,2.591594E-07
2,2,72,3.272912E-07
2,3,15,3.807997E-06
2,3,18,8.096515E-07
2,3,26,1.599427E-08
2,3,28,1.922207E-08
2,3,30,1.463752E-10
2,3,33,4.183013E-07
2,3,35,5.000714E-09
2,3,40,5.405371E-07
2,3,41,9.696721E-06
2,3,46,5.392929E-07
2,3,47,0.0004717298
2,4,15,2.913751E-06
2,5,9,1.955754E-06
2,5,12,2.832812E-07
2,6,12,6.741554E-07
2,6,18,0.0006205253
2,6,23,1.199999E-05
2,6,40,2.162153E-05
2,6,41,0.0001651767
2,6,42,0.000323805
2,6,46,6.160557E-05
2,6,47,0.0008448972
2,6,48,0.0001096229
2,6,54,2.745325E-07
2,6,57,0.0002916077
2,6,58,0.0001110823
2,6,64,0.003353115
2,6,72,1.583375E-05
2,7,40,1.621609E-06
2,7,46,1.617876E-06
2,7,47,8.236306E-07
2,7,49,1.536079E-05
2,7,64,2.591594E-07
2,7,72,2.243799E-05
2,8,28,1.648093E-08
2,8,33,5.228762E-08
2,8,40,2.972958E-06
2,8,46,7.28046E-06
2,8,47,0.0001179723
2,8,72,0.001159015
2,9,9,2.177835E-05
2,9,12,9.877061E-07
2,9,18,0.0001132948
2,9,25,2.830623E-05
2,9,41,0.001187148
2,9,42,0.001237194
2,9,43,3.087268E-05
2,9,44,2.025361E-08
2,9,46,1.655492E-05
2,9,47,0.001356511
2,9,48,5.443082E-07
2,9,49,5.447537E-06
2,9,52,9.212293E-06
2,9,54,2.468002E-06
2,9,57,0.0001601736
2,9,58,0.0001373026
2,9,63,8.346582E-07
2,9,64,9.953448E-05
2,9,65,9.892541E-05
2,9,66,6.456675E-06
2,9,72,2.529698E-06
2,9,73,0.0002069909
2,10,15,0.0002432514
2,10,18,4.830917E-05
2,10,41,0.0001053667
2,10,46,2.696469E-07
2,10,54,2.49824E-05
2,10,57,0.0001875203
2,10,58,2.122112E-07
2,10,64,1.503125E-05
2,10,72,5.609484E-07
2,11,41,2.722656E-07
2,11,42,3.538889E-06
2,11,46,5.392929E-07
2,11,47,1.345267E-05
2,11,66,1.752515E-06
2,11,72,8.809438E-05
2,12,9,6.556262E-08
2,12,12,1.372127E-05
2,12,18,2.946169E-07
2,12,21,6.682825E-06
2,12,23,0.0001336579
2,12,35,8.067107E-05
2,12,42,0.0006338234
2,12,44,9.591468E-06
2,12,46,0.0001032663
2,12,47,0.002205141
2,12,48,6.245561E-05
2,12,64,1.748561E-05
2,12,66,5.925247E-06
2,12,71,0.0004498144
2,12,72,0.001663567
2,13,9,2.098707E-07
2,13,12,2.235552E-08
2,13,15,5.908507E-07
2,13,18,5.094852E-06
2,13,23,2.491644E-11
2,13,25,6.640406E-09
2,13,26,2.401316E-06
2,13,28,1.052531E-07
2,13,33,1.549967E-07
2,13,34,6.460701E-07
2,13,35,1.550568E-10
2,13,40,1.440947E-06
2,13,41,4.959653E-08
2,13,42,2.800968E-07
2,13,44,2.795259E-08
2,13,45,2.214622E-07
2,13,46,1.320733E-05
2,13,47,7.202656E-06
2,13,48,3.196485E-08
2,13,49,1.172146E-06
2,13,52,9.390271E-07
2,13,53,4.293249E-08
2,13,57,1.084798E-09
2,14,9,2.518977E-05
2,14,15,1.273762E-05
2,14,18,0.0001189052
2,14,25,1.11968E-05
2,14,26,1.314716E-06
2,14,28,1.370674E-06
2,14,34,0.0001253691
2,14,40,2.089206E-05
2,14,41,7.103018E-05
2,14,42,0.0006733216
2,14,43,1.441577E-07
2,14,44,9.171641E-05
2,14,45,3.477256E-06
2,14,46,0.000140799
2,14,47,0.00028398
2,14,48,2.259418E-05
2,14,49,7.96771E-06
2,14,52,0.0001102701
2,14,53,1.646993E-06
2,14,57,2.949419E-07
2,14,63,2.840368E-09
2,14,64,9.662774E-05
2,14,65,4.470031E-05
2,15,9,1.572343E-06
2,15,12,3.442334E-06
2,15,15,1.219745E-05
2,15,18,0.0001554652
2,15,25,4.561383E-07
2,15,26,8.663196E-06
2,15,28,2.612539E-07
2,15,33,3.16174E-07
2,15,34,0.0001423664
2,15,35,4.905214E-09
2,15,40,2.003154E-05
2,15,41,4.772034E-05
2,15,42,7.493566E-05
2,15,43,2.143045E-09
2,15,44,3.69618E-07
2,15,45,2.144129E-05
2,15,46,4.340997E-05
2,15,47,7.037488E-06
2,15,48,3.051016E-06
2,15,49,1.206961E-06
2,15,52,9.485737E-08
2,15,53,5.355207E-08
2,15,57,3.333536E-09
2,16,9,4.422318E-05
2,16,12,2.991405E-06
2,16,15,8.688238E-06
2,16,18,0.0002787866
2,16,25,4.366821E-06
2,16,26,4.215572E-05
2,16,28,2.612539E-07
2,16,33,1.149194E-05
2,16,34,0.0001109952
