"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,0,0,0,0,0,0.0007580772,0.0001623274,8.18526E-05,0.001138832,0.0005222519,0.004138387,0.0002650103,0.0005734869,8.009699E-05,0.003389096,0.0009589726,0.001127867,0.0165585,0.004638395,0.002709718,7.665525E-05,0.006874509,0.001676874,0.008347359,0.000531266,0.0006690231,0.004313951,2.401304E-05,0.006191184,1.585072E-08,0.001299013,0.0002974951,0.0001779351,0.004527575,0.0009358501,0.009755663,0.01082561,0.0009035924,0.002171553,0.002290722,0.01940493,0.05026472,0.0003705962,0.002329016,0.005087942,0.01432587,0.07552474,0.004035508,0.0005632518,4.099323E-05,0.002061474,0.002917805,8.047182E-05,0.0003275884,0,0,0.007669396,0.002633451,1.160379,1.311689,0.2593318,0.06449795,9.809697E-06,0.04300817,0.001709717,0.000160929,0.01375807,0.126302,0.04216743,0.1962121,0.02831456,0.03449507,0.002119023,9.575107E-06,0,0,0,0
2,0,0,0,0,0,0.0007599501,0.000162708,8.27457E-05,0.001140484,0.0005222121,0.004206179,0.0002654946,0.0006051412,7.970176E-05,0.003410737,0.000976589,0.001158553,0.01660889,0.004678174,0.002708737,8.01939E-05,0.006968312,0.001748832,0.008495957,0.0005319916,0.0006845974,0.004378765,2.445866E-05,0.006285658,1.606448E-08,0.00130834,0.0002983071,0.0001780671,0.004552521,0.0009682924,0.009763365,0.01103645,0.0009134214,0.002170468,0.002299431,0.01955526,0.05067221,0.0003722278,0.002337855,0.005133997,0.01438886,0.07652675,0.004041461,0.0005709623,4.123823E-05,0.002093324,0.002939725,8.20296E-05,0.0003326992,0,0,0.007736217,0.002983165,1.265731,1.400986,0.2771431,0.06790071,1.004998E-05,0.04330763,0.001724781,0.0001696132,0.01451431,0.1369321,0.04420226,0.1892067,0.02941682,0.03559791,0.00248389,9.862834E-06,0,0,0,0
3,0,0,0,0,0,0.0007630634,0.0001632059,8.373631E-05,0.001143212,0.0005226292,0.004286629,0.0002665277,0.0006389204,7.932098E-05,0.003440822,0.0009955401,0.001190874,0.01673744,0.004728509,0.002712351,8.57894E-05,0.007130432,0.001855067,0.008712094,0.0005348388,0.0007062667,0.004462146,2.503261E-05,0.006416747,1.638764E-08,0.001321664,0.000299487,0.0001784373,0.004590669,0.001024542,0.009924618,0.011326,0.0009302432,0.002179471,0.002319319,0.01982655,0.05146067,0.0003757454,0.002356648,0.005210877,0.01463237,0.07844753,0.004055244,0.0005881058,4.158107E-05,0.002138454,0.002995524,8.553733E-05,0.0003454476,0,0,0.007919622,0.00360915,1.459787,1.56382,0.3082224,0.0742714,1.055764E-05,0.04390294,0.001777608,0.0001889395,0.01597461,0.1581955,0.04859517,0.1850547,0.03172904,0.03820799,0.003375345,1.078375E-05,0,0,0,0
4,0,0,0,0,0,0.000767826,0.0001638805,8.486708E-05,0.001147371,0.0005237146,0.0043839,0.0002682279,0.0006755456,7.895852E-05,0.003483769,0.001016231,0.001225725,0.01696509,0.004795237,0.002724061,9.231821E-05,0.007344153,0.00197124,0.008999908,0.0005399967,0.0007302781,0.004559776,2.564066E-05,0.006571521,1.677036E-08,0.001336822,0.0003013024,0.0001791204,0.004646034,0.00108581,0.0101649,0.01165781,0.0009571636,0.002199062,0.002349586,0.02024466,0.05259502,0.00038172,0.002386703,0.005324667,0.01504078,0.08121886,0.004073292,0.0006149239,4.208006E-05,0.002197148,0.003075325,9.065985E-05,0.0003669092,0,0,0.008224263,0.004055658,1.633709,1.7211,0.338294,0.08047777,1.126642E-05,0.04411779,0.001866671,0.0002274204,0.01771908,0.182412,0.05380071,0.1838536,0.03455519,0.04104561,0.004188938,1.153352E-05,0,0,0,0
5,0,0,0,0,0,0.0007739,0.0001647212,8.612975E-05,0.001152801,0.0005254942,0.004492925,0.000270318,0.0007152056,7.861215E-05,0.003537268,0.001038498,0.001263422,0.01725847,0.004876011,0.0027427,9.792686E-05,0.007585353,0.002055645,0.009342859,0.0005460806,0.0007526213,0.004664829,2.61664E-05,0.00673544,1.714526E-08,0.001352586,0.0003036624,0.0001798557,0.004713101,0.001136462,0.01041467,0.01199708,0.0009897072,0.002225327,0.002384173,0.02075208,0.05385958,0.0003896143,0.002422713,0.005462647,0.01548185,0.08429864,0.004084288,0.0006452735,4.269011E-05,0.002259966,0.003156664,9.59828E-05,0.0003922626,0,0,0.008564725,0.004172119,1.736208,1.829454,0.3597768,0.08491082,1.194278E-05,0.04389396,0.001961587,0.0002809146,0.01898077,0.1970512,0.05728458,0.1835046,0.03679406,0.04262957,0.004270692,1.155654E-05,0,0,0,0
6,0,0,0,0,0,0.0007805234,0.0001656524,8.746707E-05,0.001158938,0.0005277985,0.004603114,0.0002722791,0.0007574512,7.827379E-05,0.003594475,0.001061639,0.001303402,0.01755535,0.004961201,0.002763888,0.0001007135,0.007805627,0.002071221,0.009689451,0.0005512605,0.000768261,0.004764612,2.64544E-05,0.006883718,1.74062E-08,0.001366204,0.0003062144,0.0001803641,0.004781377,0.001158353,0.01057778,0.01229034,0.001019421,0.002250327,0.002414344,0.02125432,0.05496573,0.0003981311,0.002456885,0.005598543,0.01578453,0.08680989,0.004083879,0.0006699159,4.330641E-05,0.002314607,0.003210887,9.96067E-05,0.000412646,0,0,0.008815039,0.003972236,1.734679,1.855262,0.3667288,0.08636031,1.228988E-05,0.04329029,0.002021575,0.0003299252,0.01920765,0.1949997,0.05744541,0.1816948,0.03755731,0.0420616,0.003503232,1.076275E-05,0,0,0,0
7,0,0,0,0,0,0.0007868268,0.0001665712,8.880176E-05,0.001165044,0.0005302775,0.004704422,0.0002736935,0.0008014424,7.793474E-05,0.003648125,0.001084803,0.001344451,0.0178002,0.005040317,0.002782363,0.000100512,0.007974916,0.00202215,0.009992822,0.000554243,0.000775879,0.004851074,2.647755E-05,0.0070028,1.75048E-08,0.001376658,0.000308543,0.0001804416,0.004841064,0.001149967,0.01061914,0.01251362,0.001039681,0.002267887,0.002434829,0.02167295,0.05574726,0.0004058665,0.00248351,0.005709939,0.01586504,0.08822729,0.004073673,0.0006831386,4.382766E-05,0.00235368,0.003228274,0.0001007644,0.0004219751,0,0,0.008902317,0.003620037,1.655076,1.810419,0.3613653,0.08531853,1.220843E-05,0.04269487,0.00202835,0.0003529348,0.0185018,0.180063,0.05478632,0.177034,0.03695858,0.03986541,0.00251948,9.581402E-06,0,0,0,0
8,0,0,0,0,0,0.0007923067,0.0001674104,9.007921E-05,0.001170611,0.0005326048,0.004792822,0.0002744704,0.0008465077,7.759011E-05,0.003694704,0.001107461,0.001385468,0.0179736,0.005108525,0.002795125,9.855101E-05,0.008086753,0.001942254,0.01022572,0.0005549969,0.000777553,0.004922818,2.632148E-05,0.007093122,1.746155E-08,0.001384303,0.0003104158,0.0001801446,0.004888335,0.001123172,0.01055899,0.01267263,0.001049944,0.002276945,0.002446212,0.0219866,0.0562351,0.0004121108,0.002501966,0.005791272,0.01576274,0.08867208,0.00406044,0.0006858663,4.421661E-05,0.002378565,0.003220517,0.0001001039,0.0004211479,0,0,0.008849867,0.003337726,1.550913,1.732269,0.3504313,0.0831791,1.1841E-05,0.04236899,0.001993952,0.0003478189,0.01736617,0.1614808,0.05104009,0.1698536,0.0357739,0.03723945,0.00178622,8.532911E-06,0,0,0,0
9,0,0,0,0,0,0.0007966222,0.000168128,9.125582E-05,0.001175219,0.0005345133,0.00486593,0.0002745461,0.0008921113,7.723576E-05,0.003732536,0.001129108,0.001425642,0.01806544,0.005163618,0.00280102,9.572526E-05,0.008128673,0.001855729,0.0103644,0.0005536405,0.0007739103,0.00497666,2.60168E-05,0.007150088,1.728809E-08,0.001388462,0.0003117461,0.0001796205,0.004921106,0.001083427,0.01039472,0.01275802,0.001051855,0.002276097,0.002447898,0.02218501,0.05641726,0.0004163699,0.002511944,0.005838482,0.01550847,0.08820941,0.004046711,0.0006791942,4.447284E-05,0.002390774,0.003190239,9.788399E-05,0.0004120219,0,0,0.008687263,0.003146511,1.428824,1.628954,0.3349396,0.08011195,1.128022E-05,0.04206482,0.001929223,0.000323757,0.01596399,0.14163,0.04670101,0.1610018,0.03416457,0.03438406,0.001208448,7.597267E-06,0,0,0,0
10,0,0,0,0,0,0.000799551,0.0001686963,9.230356E-05,0.001178589,0.0005358252,0.004922461,0.0002739003,0.0009378645,7.686926E-05,0.00376036,0.001149398,0.001464442,0.0180707,0.005204212,0.002799215,9.279787E-05,0.00810508,0.001780334,0.01040726,0.0005502684,0.0007662667,0.005012698,2.561083E-05,0.007175408,1.701647E-08,0.001389613,0.0003124721,0.0001789562,0.004937849,0.001038722,0.01014639,0.01277494,0.001046661,0.00226513,0.002440054,0.02226415,0.05630704,0.0004183351,0.002513251,0.005849749,0.01513442,0.08697202,0.004033082,0.000664574,4.459679E-05,0.002391568,0.003142355,9.450994E-05,0.0003966042,0,0,0.008441565,0.003044123,1.302465,1.51314,0.3169751,0.07652427,1.061522E-05,0.04183335,0.001843595,0.0002889198,0.01445682,0.122306,0.04218794,0.1510641,0.03233721,0.03154782,0.000785145,6.799302E-06,0,0,0,0
