"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,DiscardMortalityFleetGroup

year,fleet,group,value
1980,2,9,5.56529E-07
1980,2,18,6.136429E-06
1980,2,23,1.116447E-09
1980,2,26,2.265293E-06
1980,2,28,5.108913E-08
1980,2,35,6.30953E-08
1980,2,46,0.001029385
1980,3,26,1.211932E-08
1980,3,28,2.405202E-07
1980,3,35,6.184326E-08
1980,4,15,2.130662E-05
1980,5,9,2.389356E-05
1980,5,12,1.603912E-06
1980,6,12,8.247096E-06
1980,6,18,1.29208E-06
1980,8,28,2.06221E-07
1980,9,9,7.459817E-07
1980,9,12,3.00732E-10
1980,9,18,1.249172E-07
1980,9,41,7.71845E-09
1980,9,42,8.040004E-07
1980,9,43,6.817804E-08
1980,9,44,5.569634E-12
1980,9,47,2.518293E-06
1980,9,48,6.12344E-09
1980,9,49,7.401184E-09
1980,12,9,8.009819E-07
1980,12,12,0.0001678555
1980,12,21,9.167692E-05
1980,12,23,0.0017129
1980,12,35,0.001054876
1980,12,42,0.004565761
1980,12,44,0.0001202221
1980,12,46,5.603586E-05
1980,12,47,0.01635052
1980,12,48,5.049662E-05
1980,13,23,3.193178E-10
1980,13,26,2.695699E-06
1980,13,28,1.317002E-06
1980,13,35,1.691E-09
1980,13,46,6.103311E-06
1980,14,9,0.0002519544
1980,14,18,0.0004828924
1980,14,25,6.974048E-05
1980,14,26,1.710296E-05
1980,14,28,1.715085E-05
1980,14,34,0.0001806584
1980,14,40,2.893275E-05
1980,14,41,6.579553E-05
1980,14,42,0.0001068907
1980,14,44,4.852866E-05
1980,14,45,1.75813E-06
1980,14,46,0.0001551263
1980,14,47,0.0005368432
1980,14,48,7.564649E-06
1980,14,49,8.682957E-05
1980,14,52,0.0001701911
1980,14,53,3.601474E-06
1980,14,57,3.790982E-06
1980,14,64,1.199821E-05
1980,14,65,0.0005767142
1980,15,9,1.840628E-05
1980,15,15,4.674132E-06
1980,15,18,7.545978E-05
1980,15,25,1.722946E-06
1980,15,26,4.417322E-06
1980,15,28,3.268994E-06
1980,15,34,9.068928E-05
1980,15,35,6.414184E-08
1980,15,40,4.739513E-06
1980,15,41,0.0002633401
1980,15,42,5.650863E-06
1980,15,43,2.749008E-08
1980,15,44,1.131923E-07
1980,15,45,4.883435E-05
1980,15,46,3.03862E-05
1980,15,47,7.913054E-06
1980,15,48,5.233439E-06
1980,15,49,7.061697E-06
1980,15,52,1.199745E-06
1980,15,57,4.299875E-08
1980,16,9,0.0002952882
1980,16,18,0.0005412575
