"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FIB

year,value
1980,0.2042048
1981,0.04878665
1982,0.1384732
1983,0.2814501
1984,0.2937047
1985,0.2720726
1986,0.1611001
1987,0.2129806
1988,0.127107
1989,0.2116101
1990,0.1269742
1991,0.2579373
1992,0.2767166
1993,0.2529008
1994,0.3097941
1995,0.2657039
1996,0.1403648
1997,0.269629
1998,0.1879821
1999,0.3206652
2000,0.2618928
2001,0.207807
2002,0.2776439
2003,0.2460245
2004,0.2678335
2005,0.2709236
2006,0.2191472
2007,0.1540436
2008,-0.02582209
2009,0.09537888
2010,0.3387231
2011,0.3914205
2012,0.3897616
2013,0.2368222
2014,0.2029056
2015,0.2435213
2016,0.4836403
