"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FIB

timestep,value
1,0.09961645
2,0.1381464
3,0.2045776
4,0.2668799
5,0.3080745
6,0.31754
7,0.2966692
8,0.2577043
9,0.2120886
10,0.1623021
11,0.1185017
12,0.0683571
13,-0.08968615
14,-0.08981896
15,-0.07966425
16,-0.04137289
17,0.02748316
18,0.0897372
19,0.1333263
20,0.1516269
21,0.1461975
22,0.1324732
23,0.1107274
24,0.09441037
25,0.155168
26,0.1523123
27,0.1646976
28,0.1800848
29,0.1984095
30,0.2086192
31,0.1989313
32,0.1677041
33,0.1184449
34,0.06007569
35,0.02923753
36,0.0279936
37,0.1589512
38,0.2015421
39,0.2529115
40,0.3100636
41,0.3682579
42,0.4043004
43,0.4079134
44,0.3753724
45,0.3114207
46,0.2332588
47,0.1871245
48,0.166285
49,0.2292112
50,0.2190769
51,0.2323192
52,0.271132
53,0.3308228
54,0.3779299
55,0.3902887
56,0.366103
57,0.3161677
58,0.2749223
59,0.2573029
60,0.2591802
61,0.1477018
62,0.1838556
63,0.2297019
64,0.2796929
65,0.3368719
66,0.3884639
67,0.4070539
68,0.3733018
69,0.3015895
70,0.23059
71,0.2001958
72,0.1858521
73,0.1516307
74,0.1597165
75,0.1750421
76,0.1902996
77,0.2060505
78,0.2105724
79,0.1910213
80,0.1478125
81,0.1195434
82,0.1148503
83,0.1278206
84,0.1388409
85,0.2573577
86,0.2840495
87,0.3190699
88,0.3432145
89,0.3468488
90,0.3257411
91,0.2787707
92,0.2079457
93,0.1266976
94,0.05052447
95,0.005955765
96,0.009591453
97,0.05349953
98,0.1434282
99,0.2436951
100,0.302715
101,0.3082096
102,0.2686361
103,0.1945859
104,0.1053377
105,0.01896765
106,-0.04190264
107,-0.05773229
108,-0.0141563
109,0.07354624
110,0.1299319
111,0.20381
112,0.273067
113,0.3223763
114,0.3482105
115,0.3386343
116,0.2952951
117,0.2344117
118,0.1671541
119,0.09906479
120,0.05381908
121,-0.005557452
122,0.02568965
123,0.07726005
124,0.1367639
125,0.1927875
126,0.2281708
127,0.2325549
128,0.2087201
129,0.1665404
130,0.1164409
131,0.07513157
132,0.06918754
133,0.1241892
134,0.1712151
135,0.2325616
136,0.2997392
137,0.3598517
138,0.3946342
139,0.3919693
140,0.3479878
141,0.2783596
142,0.1989025
143,0.1546208
144,0.141217
145,0.1813053
146,0.2082494
147,0.2496095
148,0.2923923
149,0.3256052
150,0.3424694
