"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:22 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,0.17184,0.1687698,0.1608172,0.26188,0.1290736,0.3263201,0.2738772,0.2348191,0.307954,0.3147232,0.4240444,0.5298297,0.4724078,0.4956999,0.8952464,0.4089062,0.1218758,0.7918871,0.39305,0.6710857,1.436239,0.2030174,1.947168,0.4687141,0.5132247,0.5784466,0.3627379,0.4568084,0.3247263,0.336128,0.09935163,0.3370909,0.2892985,0.6302921,0.9882416,1.999905,0.3225354,0.4981875,0.6764835,0.6315528,0.6836325,0.7551908,1.087764,0.7460827,0.8768895,1.136484,1.047115,0.4267282,1.369149,0.3129284,0.486285,0.9643308,1.519176,1.590921,0.1633502,0.9524023,1.162797,1.520527,1.504472,1.663914,1.526198,1.591197,1.688872,0.8198401,1.479612,2.871411,3.560917,4.865501,3.230898,2.372962,1.677541,2.655675,10.08944,5.583125,29.38691,26.40493,173.8224,0
2,0.1718338,0.1687134,0.1606443,0.2617113,0.1291634,0.3260913,0.2738015,0.234757,0.3078945,0.3146245,0.4242158,0.5298325,0.4659559,0.4958188,0.8946044,0.4091384,0.1216528,0.7907004,0.3929034,0.6710069,1.37506,0.2039142,1.927774,0.4679314,0.512924,0.5650108,0.3622524,0.4353717,0.3240256,0.3228781,0.1005828,0.3367205,0.2888153,0.6293206,0.9653587,1.982673,0.3218251,0.4968877,0.6751342,0.6292603,0.6822088,0.7528827,1.083342,0.7439872,0.8764058,1.129417,1.04207,0.4259777,1.35876,0.3127144,0.4852373,0.958782,1.503632,1.577198,0.163285,0.9497375,1.157073,1.392561,1.457798,1.625456,1.495251,1.557373,1.680863,0.8145026,1.464029,2.814507,3.503356,4.726352,3.159011,2.357929,1.654323,2.607018,9.443281,5.366404,32.86281,27.85115,199.1323,0
3,0.1717912,0.1685838,0.1602416,0.2613756,0.1292465,0.3256133,0.2736387,0.234569,0.3077278,0.3144104,0.4237399,0.5292236,0.4610161,0.4959534,0.8927218,0.4092503,0.1214502,0.7879383,0.3923746,0.6702151,1.288352,0.2020688,1.870884,0.4650512,0.5115715,0.5501348,0.3609723,0.4186135,0.3223692,0.310368,0.1003155,0.336152,0.287957,0.6274196,0.9285257,1.950543,0.3197411,0.4934373,0.672204,0.6257362,0.6787127,0.7480532,1.077036,0.7406481,0.8732041,1.116307,1.031327,0.4244031,1.337985,0.3120592,0.4825286,0.956538,1.473404,1.546358,0.1629337,0.9417948,1.143958,1.233158,1.378871,1.555537,1.436991,1.498809,1.658864,0.8030117,1.433222,2.675439,3.362027,4.436902,3.013309,2.327645,1.608838,2.521101,8.455237,5.110209,35.36515,27.0988,223.6533,0
4,0.1717501,0.1683255,0.1595813,0.2609414,0.1293488,0.3249985,0.2734041,0.234311,0.3075178,0.3141117,0.4230816,0.5285663,0.4564711,0.496139,0.8898414,0.4093316,0.121048,0.7846284,0.3916171,0.6687375,1.212803,0.2008744,1.838425,0.4624569,0.5102105,0.5367167,0.3601722,0.4049347,0.3215697,0.2979511,0.1002319,0.335274,0.2865928,0.6251028,0.9038187,1.934406,0.3188379,0.4887872,0.6693098,0.6225869,0.6748893,0.7445748,1.070794,0.7373537,0.8693244,1.107563,1.023767,0.422355,1.320607,0.3110483,0.4800833,0.9718007,1.457076,1.518396,0.1623302,0.9304135,1.135855,1.201734,1.421186,1.578038,1.456447,1.51291,1.674022,0.7971227,1.407687,2.502624,3.344601,4.448617,2.994698,2.29849,1.627417,2.553709,9.915656,5.369575,28.02812,23.71661,184.9836,0
5,0.171848,0.168083,0.1590823,0.2607338,0.129533,0.324579,0.2732258,0.2341438,0.3074109,0.3138553,0.4232071,0.5287095,0.4510641,0.4964406,0.8877553,0.4095323,0.1201211,0.7830262,0.3913427,0.6677923,1.133645,0.2005129,1.831035,0.4612571,0.5103441,0.5203148,0.3600399,0.388283,0.3216795,0.2818771,0.1002602,0.3343379,0.2851212,0.6235201,0.8738841,1.931937,0.3189597,0.4869608,0.6677572,0.6206827,0.6735697,0.7450604,1.068132,0.7359758,0.8673254,1.111885,1.025264,0.4209999,1.319951,0.3104756,0.4800387,0.9926344,1.469545,1.518663,0.1621472,0.9291525,1.14758,1.111037,1.496938,1.634443,1.503655,1.55359,1.757329,0.7990688,1.408617,2.484731,3.476089,4.75371,3.11757,2.298741,1.703283,2.694957,12.68969,5.876698,23.58255,22.52137,158.4699,0
6,0.1721338,0.1680164,0.159014,0.2608854,0.1298318,0.324524,0.2732075,0.2341941,0.3075042,0.3137529,0.4245301,0.530055,0.4450201,0.4968773,0.8875398,0.4100262,0.1186499,0.7843248,0.3920152,0.6680714,1.062843,0.201524,1.847476,0.4629357,0.5122788,0.5052679,0.360955,0.3721834,0.3230667,0.2648786,0.1005048,0.3337379,0.2839656,0.6233757,0.8473779,1.947019,0.3204824,0.48948,0.668674,0.6209424,0.6755952,0.7499917,1.070482,0.7372344,0.868839,1.129527,1.037992,0.4208085,1.339353,0.3107369,0.4827275,1.00961,1.510942,1.555532,0.1627175,0.9423827,1.181135,1.05705,1.59266,1.713852,1.569532,1.611498,1.895604,0.8091661,1.439149,2.673758,3.693348,5.195613,3.31445,2.329445,1.803883,2.895938,16.09682,6.381015,17.9102,19.192,119.1948,0
7,0.172589,0.1682342,0.1593502,0.2613988,0.1302197,0.3248518,0.2733772,0.2344867,0.307821,0.31389,0.4267976,0.5322568,0.4391092,0.4974039,0.8891469,0.4108417,0.1168812,0.78811,0.3934862,0.6696095,1.00466,0.2032912,1.86562,0.466823,0.5153905,0.4933961,0.3624607,0.3597784,0.325043,0.2499722,0.1008228,0.3336813,0.2834423,0.6246178,0.8243672,1.968222,0.3225331,0.4949313,0.6714093,0.6227991,0.6799533,0.7570434,1.076945,0.7404296,0.87301,1.151787,1.055789,0.4216546,1.369176,0.3117309,0.4868516,1.011894,1.559379,1.611723,0.163804,0.9644611,1.222653,1.06597,1.668192,1.781752,1.624355,1.658965,2.031184,0.8213534,1.48172,2.991593,3.889854,5.573969,3.488749,2.377509,1.873527,3.054573,18.09683,6.599036,17.51864,19.66523,114.1741,0
8,0.1731172,0.168683,0.1598284,0.2620731,0.1306315,0.3253807,0.2736552,0.2349221,0.3082741,0.3142205,0.4292898,0.5345435,0.4345579,0.497941,0.8915344,0.4118936,0.1152294,0.7929578,0.3951579,0.6717162,0.9682215,0.2051506,1.872069,0.4717307,0.5184524,0.4870207,0.363997,0.3548532,0.3268698,0.2404813,0.1011043,0.3341457,0.2834862,0.6265659,0.8091973,1.9863,0.3243409,0.5002729,0.6744428,0.6252977,0.6845945,0.7631631,1.084715,0.744127,0.8776874,1.169186,1.070544,0.422871,1.396123,0.3129439,0.4904951,0.9977422,1.594162,1.66026,0.1648856,0.9858826,1.253439,1.181743,1.698873,1.817695,1.651263,1.681261,2.110616,0.8302498,1.516265,3.275186,3.995266,5.743602,3.573775,2.421018,1.883453,3.10299,17.76113,6.430157,23.11469,25.16063,147.5305,0
9,0.173656,0.1692493,0.1603073,0.2627895,0.1310321,0.3260264,0.2739851,0.2354433,0.3088237,0.3146868,0.4317922,0.5368103,0.4323372,0.498454,0.8942165,0.4132243,0.1140429,0.7987416,0.3968044,0.6739181,0.9648572,0.2072517,1.877259,0.4774642,0.5213472,0.488497,0.3656818,0.3597713,0.3287683,0.2387323,0.101422,0.3350652,0.2839019,0.629054,0.8124576,2.006315,0.3263243,0.5045952,0.6779468,0.6290462,0.6892032,0.7688974,1.092976,0.7483261,0.8833385,1.183011,1.083541,0.4241965,1.420818,0.3141009,0.4936545,0.9804084,1.624037,1.699567,0.1658005,1.003773,1.272361,1.48932,1.728253,1.850007,1.676065,1.70226,2.145759,0.839605,1.544792,3.462849,4.077533,5.875621,3.639869,2.453823,1.875913,3.114071,18.24004,6.255217,21.06399,22.7152,130.7971,0
10,0.1741633,0.1698504,0.1607784,0.263504,0.1313944,0.3267291,0.2743342,0.23599,0.3094178,0.3152192,0.4341769,0.5389541,0.4326446,0.4989136,0.8970863,0.4147888,0.113478,0.8052894,0.3983554,0.6761459,0.9908398,0.2091817,1.881398,0.4830612,0.5241182,0.4959041,0.36727,0.3720232,0.3304501,0.2438854,0.1016911,0.3363574,0.2845751,0.631953,0.8309745,2.02438,0.328138,0.5081887,0.6815778,0.6336585,0.693608,0.7738888,1.10115,0.7528673,0.8900333,1.193586,1.094352,0.4255579,1.442817,0.3151932,0.4964029,0.9600036,1.647803,1.730137,0.1666076,1.019448,1.282011,1.91864,1.74686,1.87316,1.693397,1.716968,2.144659,0.8483177,1.568301,3.581022,4.132725,5.968863,3.686734,2.479132,1.85043,3.088119,18.71177,6.039171,21.93347,23.31922,132.6283,0
