"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:21 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,"PredationMortality of Baleen whales"

year\group,"Large oceanic sharks",
1980,0.01180283
1981,0.01116973
1982,0.009400565
1983,0.01042251
1984,0.008956298
1985,0.008979353
1986,0.0084314
1987,0.007899115
1988,0.008749463
1989,0.006633356
1990,0.005799673
1991,0.005942054
1992,0.005894842
1993,0.003922694
1994,0.004212375
1995,0.004152596
1996,0.002636233
1997,0.002232626
1998,0.0020716
1999,0.001882061
2000,0.002142956
2001,0.00139482
2002,0.001289411
2003,0.001250512
2004,0.0008678576
2005,0.001108521
2006,0.001258712
2007,0.0007915213
2008,0.000692311
2009,0.000704172
2010,0.000699316
2011,0.0006968421
2012,0.0008329957
2013,0.0006512288
2014,0.0006388612
2015,0.0005842762
2016,0.001047112
