"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,TotalCatch

timestep,value
1,3.570795
2,3.799197
3,4.228989
4,4.641341
5,4.909586
6,4.944734
7,4.790874
8,4.561953
9,4.277933
10,3.971366
11,3.714276
12,3.393683
13,2.622996
14,2.584983
15,2.617633
16,2.79641
17,3.179707
18,3.571631
19,3.840873
20,3.915973
21,3.829987
22,3.727353
23,3.578813
24,3.48815
25,3.869709
26,3.844478
27,3.89715
28,3.94044
29,4.019096
30,4.052874
31,3.976622
32,3.811451
33,3.56148
34,3.285981
35,3.155378
36,3.162125
37,3.984346
38,4.275549
39,4.639827
40,5.069164
41,5.532336
42,5.797902
43,5.746264
44,5.413821
45,4.917818
46,4.449974
47,4.230206
48,4.096884
49,4.613807
50,4.536425
51,4.643638
52,4.959694
53,5.475002
54,5.901366
55,5.968861
56,5.663244
57,5.247816
58,4.971837
59,4.840575
60,4.85919
61,3.934143
62,4.191747
63,4.522129
64,4.869607
65,5.20961
66,5.371165
67,5.257451
68,4.928859
69,4.521982
70,4.215566
71,4.107899
72,4.004591
73,3.867001
74,3.930459
75,4.039661
76,4.155689
77,4.299062
78,4.35134
79,4.217752
80,3.944842
81,3.793057
82,3.767924
83,3.850262
84,3.912126
85,4.749058
86,4.944841
87,5.183635
88,5.292332
89,5.249602
90,5.0481
91,4.660698
92,4.193755
93,3.706596
94,3.294366
95,3.04533
96,3.053671
97,3.331243
98,3.884688
99,4.537129
100,4.908212
101,4.872584
102,4.55451
103,4.101113
104,3.605971
105,3.14712
106,2.805932
107,2.690032
108,2.907282
109,3.386155
110,3.741931
111,4.22665
112,4.689333
113,5.03613
114,5.225757
115,5.073022
116,4.744875
117,4.343238
118,3.923758
119,3.521015
120,3.268655
121,2.904741
122,3.074354
123,3.38219
124,3.766762
125,4.146834
126,4.368978
127,4.353988
128,4.159918
129,3.878529
130,3.572304
131,3.341545
132,3.318443
133,3.712921
134,4.016391
135,4.429561
136,4.906771
137,5.332775
138,5.508564
139,5.356198
140,4.987677
141,4.509817
142,4.101565
143,3.899343
144,3.833926
145,4.135548
146,4.329235
147,4.621228
148,4.922638
149,5.159337
150,5.286383
151,5.359296
152,5.199264
153,4.889811
154,4.59122
155,4.524875
156,4.675614
157,4.606114
158,4.595529
159,4.657056
160,4.785109
161,4.894152
162,4.934007
163,4.925334
164,4.805342
165,4.624604
166,4.401537
167,4.250854
168,4.118458
169,4.564023
170,4.853887
171,5.224186
