"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Value

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,0,0,0,0,0,0,0,0,0.0005585398,0,0,9.100948E-05,0,0,0.00336467,0,0,0.01550813,0,0,0,0,0.0001389715,0,0.0004223228,0.0006166534,0,0,0,1.585072E-08,0,0,0.0001779351,0.004129264,5.469349E-09,0,0,0,0,0.002210569,0.01902628,0.04532696,0.000370507,0.002049569,0.005008928,0.01282828,0.05707172,0.003951838,0.0003208559,0,0,0.002695077,7.417863E-05,0.0003275885,0,0,0.007660831,0.001574402,0,0,0,0,9.809697E-06,0.0429939,0.001176737,0.000160929,0,0,0,0,0.02831456,0.03449507,0.002119023,9.575107E-06,0,0,0,0
2,0,0,0,0,0,0,0,0,0.00055935,0,0,9.11758E-05,0,0,0.003386155,0,0,0.01555532,0,0,0,0,0.0001449351,0,0.0004228997,0.0006310084,0,0,0,1.606448E-08,0,0,0.0001780672,0.004152015,5.658949E-09,0,0,0,0,0.002218973,0.01917367,0.04569442,0.0003721383,0.002057347,0.005054268,0.01288469,0.05782891,0.003957667,0.0003252482,0,0,0.002715323,7.561458E-05,0.0003326992,0,0,0.007727577,0.001783477,0,0,0,0,1.004998E-05,0.04329326,0.001187105,0.0001696133,0,0,0,0,0.02941682,0.03559791,0.00248389,9.862834E-06,0,0,0,0
3,0,0,0,0,0,0,0,0,0.0005606876,0,0,9.153061E-05,0,0,0.003416023,0,0,0.01567572,0,0,0,0,0.0001537393,0,0.000425163,0.0006509816,0,0,0,1.638764E-08,0,0,0.0001784373,0.004186807,5.987689E-09,0,0,0,0,0.002238165,0.01943967,0.04640542,0.0003756551,0.002073885,0.005129954,0.01310275,0.05928038,0.003971164,0.0003350139,0,0,0.002766863,7.884799E-05,0.0003454476,0,0,0.007910777,0.00215772,0,0,0,0,1.055764E-05,0.04388836,0.001223464,0.0001889395,0,0,0,0,0.03172904,0.03820799,0.003375345,1.078375E-05,0,0,0,0
4,0,0,0,0,0,0,0,0,0.0005627277,0,0,9.211449E-05,0,0,0.003458661,0,0,0.01588893,0,0,0,0,0.0001633672,0,0.0004292632,0.0006731134,0,0,0,1.677036E-08,0,0,0.0001791204,0.004237301,6.345755E-09,0,0,0,0,0.002267373,0.01984962,0.04742834,0.0003816282,0.002100334,0.005241978,0.01346846,0.06137459,0.003988838,0.0003502909,0,0,0.002840573,8.35699E-05,0.0003669092,0,0,0.008215078,0.002424664,0,0,0,0,1.126642E-05,0.04410314,0.001284763,0.0002274204,0,0,0,0,0.03455519,0.04104561,0.004188938,1.153352E-05,0,0,0,0
5,0,0,0,0,0,0,0,0,0.0005653903,0,0,9.283227E-05,0,0,0.003511774,0,0,0.0161637,0,0,0,0,0.0001703623,0,0.0004340995,0.0006937076,0,0,0,1.714526E-08,0,0,0.0001798557,0.004298468,6.641773E-09,0,0,0,0,0.00230075,0.02034714,0.04856868,0.0003895206,0.002132024,0.005377815,0.01386342,0.06370188,0.003999607,0.0003675795,0,0,0.002915702,8.847659E-05,0.0003922626,0,0,0.008555159,0.00249429,0,0,0,0,1.194278E-05,0.04387939,0.00135009,0.0002809146,0,0,0,0,0.03679406,0.04262957,0.004270692,1.155654E-05,0,0,0,0
6,0,0,0,0,0,0,0,0,0.0005684004,0,0,9.350573E-05,0,0,0.003568568,0,0,0.01644175,0,0,0,0,0.0001716532,0,0.0004382172,0.0007081231,0,0,0,1.74062E-08,0,0,0.0001803641,0.004360737,6.769714E-09,0,0,0,0,0.002329865,0.02083957,0.04956616,0.0003980354,0.002162095,0.0055116,0.01413446,0.06559955,0.003999206,0.0003816171,0,0,0.002965787,9.181708E-05,0.000412646,0,0,0.008805194,0.00237479,0,0,0,0,1.228988E-05,0.04327592,0.001391378,0.0003299252,0,0,0,0,0.03755731,0.0420616,0.003503232,1.076275E-05,0,0,0,0
7,0,0,0,0,0,0,0,0,0.0005713953,0,0,9.399146E-05,0,0,0.003621832,0,0,0.01667107,0,0,0,0,0.0001675865,0,0.0004405882,0.0007151447,0,0,0,1.75048E-08,0,0,0.0001804416,0.004415173,6.720702E-09,0,0,0,0,0.002349633,0.02125003,0.05027092,0.0004057689,0.002185525,0.005621267,0.01420656,0.06667065,0.003989212,0.0003891493,0,0,0.002981846,9.288426E-05,0.0004219752,0,0,0.008892373,0.002164229,0,0,0,0,1.220843E-05,0.0426807,0.001396041,0.0003529349,0,0,0,0,0.03695859,0.03986541,0.00251948,9.581402E-06,0,0,0,0
8,0,0,0,0,0,0,0,0,0.0005741257,0,0,9.425827E-05,0,0,0.003668075,0,0,0.01683347,0,0,0,0,0.000160965,0,0.0004411874,0.0007166876,0,0,0,1.746155E-08,0,0,0.0001801446,0.004458286,6.564108E-09,0,0,0,0,0.002360619,0.02155757,0.05071084,0.0004120117,0.002201767,0.005701336,0.01411495,0.06700676,0.003976253,0.0003907031,0,0,0.002974682,9.227538E-05,0.0004211479,0,0,0.008839983,0.00199545,0,0,0,0,1.1841E-05,0.04235493,0.001372366,0.0003478189,0,0,0,0,0.03577391,0.03723945,0.00178622,8.532911E-06,0,0,0,0
9,0,0,0,0,0,0,0,0,0.0005763853,0,0,9.428427E-05,0,0,0.003705635,0,0,0.01691948,0,0,0,0,0.0001537942,0,0.0004401091,0.0007133301,0,0,0,1.728809E-08,0,0,0.0001796205,0.004488173,6.331824E-09,0,0,0,0,0.002362246,0.02175211,0.05087509,0.0004162698,0.002210548,0.005747813,0.01388726,0.06665713,0.003962808,0.0003869024,0,0,0.002946715,9.022909E-05,0.0004120219,0,0,0.008677562,0.001881133,0,0,0,0,1.128022E-05,0.04205086,0.001327815,0.000323757,0,0,0,0,0.03416457,0.03438406,0.001208448,7.597267E-06,0,0,0,0
10,0,0,0,0,0,0,0,0,0.0005780382,0,0,9.40625E-05,0,0,0.003733258,0,0,0.01692441,0,0,0,0,0.0001475458,0,0.0004374286,0.0007062848,0,0,0,1.701647E-08,0,0,0.0001789562,0.004503443,6.070557E-09,0,0,0,0,0.002354676,0.0218297,0.0507757,0.0004182345,0.002211698,0.005758905,0.01355231,0.06572207,0.003949462,0.000378574,0,0,0.002902486,8.71189E-05,0.0003966043,0,0,0.008432137,0.00181992,0,0,0,0,1.061522E-05,0.04181946,0.001268881,0.0002889198,0,0,0,0,0.03233721,0.03154782,0.000785145,6.799302E-06,0,0,0,0
