"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,CatchFleetGroup

year,fleet,group,value
1980,1,71,0.02700889
1980,1,72,0.0001717938
1980,1,74,9.048487E-06
1980,2,9,5.565064E-07
1980,2,12,2.492762E-08
1980,2,15,5.1743E-07
1980,2,18,0.0005370035
1980,2,23,9.997851E-07
1980,2,26,3.250362E-05
1980,2,28,5.108116E-08
1980,2,30,1.498349E-08
1980,2,33,2.902391E-05
1980,2,35,6.535444E-08
1980,2,40,0.0007442356
1980,2,41,1.411736E-05
1980,2,42,0.0004775702
1980,2,46,0.001874805
1980,2,47,0.0003573708
1980,2,48,4.797088E-05
1980,2,64,3.074367E-06
1980,2,72,3.980259E-06
1980,3,15,4.829348E-05
1980,3,18,1.020899E-05
1980,3,26,2.080458E-07
1980,3,28,2.404826E-07
1980,3,30,1.83943E-09
1980,3,33,5.047649E-06
1980,3,35,6.536718E-08
1980,3,40,6.735163E-06
1980,3,41,0.0001256976
1980,3,46,6.77654E-06
1980,3,47,0.006183412
1980,4,15,3.695254E-05
1980,5,9,2.389258E-05
1980,5,12,3.464943E-06
1980,6,12,8.245905E-06
1980,6,18,0.007824278
1980,6,23,0.0001537752
1980,6,40,0.0002694071
1980,6,41,0.002141168
1980,6,42,0.004153384
1980,6,46,0.000774111
1980,6,47,0.01107487
1980,6,48,0.001318864
1980,6,54,3.765607E-06
1980,6,57,0.003761558
1980,6,58,0.001517475
1980,6,64,0.03977747
1980,6,72,0.0001925576
1980,7,40,2.020546E-05
1980,7,46,2.032959E-05
1980,7,47,1.079611E-05
1980,7,49,0.0002052874
1980,7,64,3.074367E-06
1980,7,72,0.0002728732
1980,8,28,2.061888E-07
1980,8,33,6.309556E-07
1980,8,40,3.704344E-05
1980,8,46,9.148335E-05
1980,8,47,0.001546375
1980,8,72,0.01409503
1980,9,9,0.0002660564
1980,9,12,1.208109E-05
1980,9,18,0.001428548
1980,9,25,0.0003475893
1980,9,41,0.01538887
1980,9,42,0.01586924
1980,9,43,0.0003936441
1980,9,44,2.538605E-07
1980,9,46,0.0002080225
1980,9,47,0.01778109
1980,9,48,6.548527E-06
1980,9,49,7.280298E-05
1980,9,52,0.0001165103
1980,9,54,3.385219E-05
1980,9,57,0.002066139
1980,9,58,0.001875666
1980,9,63,1.089113E-05
1980,9,64,0.001180762
1980,9,65,0.001276387
1980,9,66,0.0001190635
1980,9,72,3.07642E-05
1980,9,73,0.002256215
1980,10,15,0.003084943
1980,10,18,0.0006091361
1980,10,41,0.001365857
1980,10,46,3.388275E-06
1980,10,54,0.0003426694
1980,10,57,0.002418895
1980,10,58,2.898979E-06
1980,10,64,0.0001783133
1980,10,72,6.821814E-06
1980,11,41,3.52935E-06
1980,11,42,4.539264E-05
1980,11,46,6.77654E-06
1980,11,47,0.000176337
1980,11,66,3.231704E-05
1980,11,72,0.001071335
1980,12,9,8.009493E-07
1980,12,12,0.0001678312
1980,12,18,3.714859E-06
1980,12,21,9.166203E-05
1980,12,23,0.001712774
1980,12,35,0.001054498
1980,12,42,0.008129929
1980,12,44,0.0001202203
1980,12,46,0.001297603
1980,12,47,0.02890489
1980,12,48,0.0007513983
1980,12,64,0.0002074291
1980,12,66,0.0001092638
1980,12,71,0.006069676
1980,12,72,0.020231
1980,13,9,2.563897E-06
1980,13,12,2.734407E-07
1980,13,15,7.49324E-06
1980,13,18,6.42416E-05
1980,13,23,3.192944E-10
1980,13,25,8.154152E-08
1980,13,26,3.123518E-05
1980,13,28,1.316796E-06
1980,13,33,1.870348E-06
1980,13,34,8.126377E-06
1980,13,35,2.026836E-09
1980,13,40,1.795439E-05
1980,13,41,6.429145E-07
1980,13,42,3.592748E-06
1980,13,44,3.503601E-07
1980,13,45,2.873192E-06
1980,13,46,0.0001659581
1980,13,47,9.441208E-05
1980,13,48,3.845664E-07
1980,13,49,1.566501E-05
1980,13,52,1.187612E-05
