"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1980,0,0,0,0,0,0.0007818763,0.0001659589,8.80323E-05,0.001161066,0.0005291583,0.004612227,0.0002706155,0.00079037,7.809868E-05,0.003604615,0.001072616,0.001327277,0.01745196,0.004972171,0.002757996,9.166203E-05,0.007660395,0.001867549,0.009597645,0.000544387,0.0007420764,0.004748962,2.549969E-05,0.006818817,1.682292E-08,0.001358055,0.0003061858,0.0001790616,0.004771864,0.001054758,0.01013655,0.01210176,0.001025277,0.00222857,0.002387601,0.02112439,0.05416355,0.0003955095,0.002441906,0.005550592,0.01506705,0.08359244,0.004051873,0.0006358799,4.317418E-05,0.002277695,0.003098289,9.202508E-05,0.0003802872,0,0,0.008316032,0.00339604,1.43435,1.588506,0.3212515,0.07717603,1.092819E-05,0.04281263,0.001854501,0.0002606444,0.0159227,0.1498053,0.04750833,0.1702642,0.03307857,0.03607615,0.002256215,9.048487E-06,0,0,0,0
1981,0,0,0,0,0,0.0007930293,0.0001969703,0.000402587,0.001238738,0.0008277842,0.00611622,0.0003362909,0.001627926,7.704422E-05,0.004768011,0.001420514,0.001529214,0.01789587,0.003428668,0.002291977,0.0001253875,0.006790013,0.002317711,0.0113597,0.000536203,0.0007217617,0.004774585,2.775134E-05,0.006899762,1.585665E-08,0.004238468,0.0007841137,0.001138348,0.00169381,0.001262534,0.007412814,0.01220014,0.001102538,0.001914457,0.002347904,0.02191317,0.05762458,0.0003798818,0.002668211,0.005198772,0.01374066,0.0880641,0.01346294,0.0005530846,0.0003806686,0.004760427,0.003065546,7.623984E-05,0.0004272305,0,0,0.008227781,0.002484846,1.099125,1.198265,0.2445515,0.06104798,8.079037E-06,0.04918681,0.001460685,0.0001328955,0.01150843,0.09854812,0.03108983,0.1113762,0.03431937,0.03684269,0.0009440859,9.375335E-06,0,0,0,0
1982,0,0,0,0,0,0.0007761394,0.0002221205,0.0003064171,0.001146546,0.0008877032,0.005883981,0.0002932567,0.002392062,2.383824E-05,0.003612181,0.00154592,0.002296194,0.01609045,0.007817272,0.003109098,0.0001075109,0.007988514,0.001653211,0.01328044,0.0005471157,0.0005792572,0.00585637,3.189556E-05,0.006556523,1.566237E-08,0.006726769,0.0003715131,0.00151778,0.001958658,0.001209894,0.005410144,0.008863154,0.001676563,0.00165498,0.002038903,0.02080678,0.05055302,0.000361776,0.002392801,0.003063549,0.0122837,0.07615981,0.0163353,0.0004960294,0.0004519373,0.00498645,0.00285383,5.737012E-05,0.0004307812,0,0,0.008560832,0.002037242,0.8195922,1.7514,0.3588674,0.08963408,9.015864E-06,0.04160843,0.001728903,0.0001011649,0.01248314,0.09665985,0.03356031,0.1144952,0.03565045,0.0410585,0.001576045,1.162844E-05,0,0,0,0
1983,0,0,0,0,0,0.0004850606,0.0002665818,0.0004843382,0.001321318,0.0009472517,0.005959604,0.0002579321,0.003301912,3.986194E-05,0.002637025,0.001734606,0.003143468,0.01665424,0.005023472,0.002431364,0.0001212216,0.009562903,0.001726251,0.0105724,0.0006076877,0.0007373939,0.00649182,4.256605E-05,0.00708759,1.660649E-08,0.005479833,0.0001571776,0.0005151055,0.00398299,0.001258225,0.006439572,0.01298586,0.001286189,0.001757382,0.002246948,0.02098668,0.05311316,0.0003630107,0.002801928,0.003442302,0.01595519,0.07844901,0.02167704,0.0006206413,0.0003609266,0.003725489,0.00375812,7.760103E-05,0.0005643843,0,0,0.01035508,0.002853656,1.353448,1.73992,0.7604305,0.179185,1.193892E-05,0.04164143,0.00242949,0.0002136514,0.01637281,0.1429352,0.05204112,0.1310385,0.04081013,0.04595919,0.003094771,1.286199E-05,0,0,0,0
1984,0,0,0,0,0,0.0005915501,0.0003309074,0.0002987403,0.001487635,0.0009667455,0.006331755,0.0002931617,0.003059,4.092783E-05,0.002042756,0.001763255,0.003431134,0.01636881,0.00473619,0.002543197,0.0001483599,0.01110692,0.002142206,0.009159212,0.0006701453,0.0007402925,0.004324423,4.661121E-05,0.007190948,1.476811E-08,0.004551768,0.0002598535,0.0001917029,0.001091023,0.001386686,0.003507531,0.01178232,0.002805513,0.001727729,0.002441763,0.02156388,0.05748281,0.0003748812,0.003354486,0.003452327,0.01795408,0.08383769,0.02314614,0.0007060376,0.0004797248,0.001915776,0.004422988,8.471437E-05,0.0006085794,0,0,0.01043256,0.005641935,2.140828,1.579739,0.42297,0.2150826,1.070097E-05,0.04212647,0.002536026,0.0001704229,0.01434157,0.1218,0.02582725,0.1395748,0.04016469,0.04939199,0.001125375,1.279929E-05,0,0,0,0
1985,0,0,0,0,0,0.0006813535,0.0003958995,0.0002303698,0.001612696,0.001939472,0.007055393,0.0002670813,0.004779576,5.34241E-05,0.001419375,0.001629346,0.004470177,0.0145757,0.00689863,0.00253958,0.0001282301,0.008702391,0.002065845,0.006504735,0.0006851105,0.0007736729,0.0067576,5.793976E-05,0.006921386,1.379655E-08,0.003441336,0.0004037543,0.00200585,0.002326169,0.001240452,0.001699834,0.01177295,0.003150336,0.0005111808,0.002490981,0.01880957,0.05272369,0.0003142334,0.003660701,0.003174615,0.01883725,0.07384963,0.02174815,0.0006886821,0.000440753,0.001682966,0.004931507,8.785165E-05,0.0005371767,0,0,0.009323136,0.002703289,1.477731,1.999868,0.2912356,0.1043976,9.400144E-06,0.03755893,0.002529185,0.0001092079,0.01411456,0.09769964,0.0413197,0.1204185,0.03454604,0.04893421,0.001484135,1.141143E-05,0,0,0,0
1986,0,0,0,0,0,0.001336166,0.0004886927,0.0002932465,0.001744171,0.002376344,0.007906393,0.0002924836,0.004548471,5.293428E-05,0.001233998,0.001821065,0.006384868,0.01313204,0.01013817,0.002741924,0.0001522919,0.009568355,0.001905109,0.01637762,0.0007694943,0.0007528114,0.006111716,7.128391E-05,0.007707449,1.30212E-08,0.002418422,0.000193182,0.001239141,0.009875244,0.00144821,0.001317871,0.0112595,0.003567681,0.001062262,0.002456654,0.01932847,0.051183,0.0003273246,0.003861115,0.002642047,0.01948439,0.07543113,0.03521453,0.000725441,0.0005206068,0.003332766,0.005375291,8.630226E-05,0.0006358302,0,0,0.009602657,0.002173649,1.173934,1.499655,0.4448144,0.08197358,1.080102E-05,0.04545867,0.00285533,0.000113718,0.01321839,0.1099668,0.06296984,0.122123,0.03200443,0.05889435,0.001604518,1.047252E-05,0,0,0,0
1987,0,0,0,0,0,0.0007545234,0.0005796072,0.0001958975,0.001404154,0.002157061,0.009853659,0.0002711538,0.004727773,6.372882E-05,0.0009698517,0.001581981,0.007762942,0.01155586,0.0112922,0.002071975,0.0001552934,0.008268743,0.001527922,0.00883038,0.0006298109,0.0007703934,0.004902987,5.017408E-05,0.00638713,1.166889E-08,0.002073238,0.0001899128,0.0006623438,0.005889738,0.001359152,0.00103292,0.01084066,0.00360445,0.001540868,0.002252311,0.01812116,0.04171526,0.0003212858,0.002800914,0.002471848,0.01836672,0.06716461,0.02039286,0.0006773902,0.000818709,0.002039133,0.004077237,6.953336E-05,0.0008032126,0,0,0.0102933,0.001368405,1.147036,1.756808,0.5003821,0.161059,1.166849E-05,0.03833657,0.002376204,0.0001385698,0.01316987,0.1157404,0.0680087,0.1721471,0.02873875,0.05715312,0.001621816,9.272375E-06,0,0,0,0
1988,0,0,0,0,0,0.001116361,0.0006746495,0.0002791018,0.001630337,0.001740234,0.006664288,0.0002417003,0.004558834,7.923135E-05,0.0006641981,0.001419234,0.008158009,0.01072665,0.008106929,0.002372299,0.0001619601,0.01045381,0.00186326,0.008127195,0.0006687089,0.0008565408,0.005341657,6.042228E-05,0.00650807,1.12274E-08,0.002848545,0.0001058525,0.0007985432,0.006039166,0.001314072,0.002234361,0.01311423,0.004113918,0.001256863,0.002398761,0.01702473,0.04332933,0.0003083301,0.003251364,0.00270196,0.01967618,0.06295606,0.01242534,0.0007990383,0.001334631,0.005442575,0.004729832,7.350749E-05,0.0006084624,0,0,0.007926327,0.001738515,1.108978,1.374715,0.4178103,0.147763,1.145483E-05,0.04112642,0.002382505,0.0001581251,0.009045232,0.1023879,0.05494787,0.1411034,0.02627626,0.05132412,0.001619466,8.062424E-06,0,0,0,0
1989,0,0,0,0,0,0.0009987353,0.0007312847,0.0002252931,0.001276689,0.001174009,0.008047825,0.0002089689,0.006011865,8.064091E-05,0.0006622467,0.00125558,0.00773522,0.008839275,0.008586925,0.002193574,0.0001399527,0.01186591,0.001823843,0.007724612,0.0005437727,0.0006949734,0.005020696,4.512266E-05,0.01054041,1.050232E-08,0.001361553,5.163267E-05,0.0005348845,0.00520974,0.001270011,0.001433457,0.01124894,0.002826748,0.001107732,0.002043172,0.01561005,0.0356251,0.0002768701,0.002447895,0.001954198,0.01670634,0.05515794,0.01667973,0.0007013176,0.0006693226,0.006109105,0.003592474,5.12898E-05,0.0006848779,0,0,0.007957976,0.001824783,1.426852,1.607318,0.3918172,0.1445327,1.017833E-05,0.04389283,0.001996491,0.000142411,0.01066686,0.1101596,0.05305323,0.1108743,0.0273104,0.05715849,0.001835344,1.229899E-05,0,0,0,0
