"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:39 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1980,19.00816,21.60924,20.67993,41.79822,4.047105,3.795857,3.184738,3.623297,3.466032,3.201998,6.320215,5.525029,8.624616,4.389818,10.16006,5.294076,3.929927,7.224668,4.685336,4.572976,13.55576,3.951025,19.06093,5.722536,5.27011,9.034122,3.907143,8.880403,4.026948,17.7464,4.396704,3.848359,5.192555,7.179893,17.54979,8.756042,3.676575,5.885698,6.903559,6.752928,7.968262,8.264585,10.29543,5.831976,6.536037,6.235573,6.828185,5.571142,6.874886,3.978866,6.385905,9.962804,9.776647,13.73824,1.619364,9.559037,12.1937,38.62931,19.10525,12.78986,11.79815,10.11019,18.40515,7.676867,8.505473,16.2788,18.11924,17.76387,18.03675,12.0797,10.06756,15.63622,75.50715,21.63025,0,0,0,0
1981,13.81251,10.95089,9.340224,30.8417,3.034554,3.065483,2.711384,2.881364,2.893062,2.59073,4.720115,4.337244,7.563225,4.296299,8.594684,4.499412,3.076376,5.834039,3.233178,3.611395,15.44644,3.108098,21.77635,4.564873,4.222234,9.147693,3.048327,9.353065,2.991822,18.28378,3.350582,3.132235,3.139207,5.168705,20.17975,7.940054,2.774091,3.553149,5.08482,5.234986,5.795082,6.505814,7.849195,4.585338,4.665775,5.366642,5.300067,4.325922,5.160855,2.869398,4.835042,7.698143,7.828154,9.963333,0.7595051,7.214158,9.35068,49.743,20.36488,12.26311,13.1142,10.1505,14.42374,7.61225,7.495955,9.805255,19.01151,19.54926,19.41458,13.79277,9.05351,16.50541,83.76791,23.05712,0,0,0,0
1982,12.08473,9.53791,9.715878,26.3136,2.672556,2.760443,2.472531,2.633517,2.613989,2.350198,4.332478,3.968219,7.577116,4.237586,8.115438,4.130721,2.875728,5.771641,2.842526,3.466955,14.0881,3.161358,20.41063,4.666609,4.238575,9.151484,2.890397,9.097852,2.877114,18.15862,2.903943,3.059699,2.751192,4.212677,18.06605,7.46579,2.567703,3.146976,4.729195,4.954969,5.255672,5.919199,6.850489,4.059886,4.148093,5.402288,5.001452,4.340101,4.667575,2.825025,4.599026,7.502553,7.339396,9.780293,0.9152479,9.019753,9.10282,43.26146,21.373,11.12453,13.13636,9.425899,12.96199,8.1977,7.725737,11.17878,17.22326,17.57805,18.10916,13.54281,7.21126,15.05044,64.61546,20.75766,0,0,0,0
1983,17.55148,18.29969,20.4025,37.49778,3.59146,3.576113,2.967731,3.548283,3.167105,2.877377,5.490252,5.412589,8.614406,4.316509,10.38901,4.647601,3.053059,7.88502,4.117512,4.737338,13.92315,4.162073,20.01528,6.039212,5.510173,9.810847,3.754557,9.393544,3.822027,19.0815,4.239232,4.40791,4.442258,5.612113,18.47048,9.056199,3.643817,5.604072,7.077017,6.804888,7.731245,8.504612,9.178513,5.542362,6.255525,6.686737,7.169266,6.041209,6.984912,3.986095,6.229366,10.56797,10.49333,14.46508,1.871161,12.80443,12.76446,42.03917,22.89891,16.41829,15.65366,11.33563,18.83892,9.217221,9.683089,19.20278,19.6374,19.79977,20.40796,14.72273,10.50494,16.98318,82.81324,22.56954,0,0,0,0
1984,13.166,12.43486,10.59734,31.13875,2.883916,2.941874,2.634306,3.141671,2.752457,2.493612,4.312387,4.392148,7.413242,4.245114,9.500539,4.230686,2.742224,6.449549,3.123555,4.065658,14.78102,3.13968,21.16479,4.589058,4.466106,8.693932,3.007836,8.855289,3.010776,16.82422,3.196165,3.45774,3.144543,4.300837,18.77164,7.351408,2.752021,3.136395,5.401083,5.529871,6.075741,6.922294,7.334985,4.742639,4.781996,5.054215,5.23366,5.519857,4.718868,3.069387,4.64078,7.423864,7.474888,8.920367,0.7524509,8.102589,8.652624,46.32058,17.77175,15.14839,11.23302,9.181487,12.6349,7.426737,6.388662,8.647503,17.19548,17.86404,17.76755,13.43493,7.752907,15.14215,71.88842,21.2408,0,0,0,0
1985,13.49296,10.99663,11.22541,29.85547,2.91201,3.004035,2.686511,3.221093,2.799262,2.502582,4.398839,4.691846,7.220421,4.234434,10.39116,4.271031,2.619825,6.919565,3.264437,4.360237,14.29629,3.29211,20.87318,4.812256,4.523225,9.459393,3.14465,9.350881,3.089952,18.33045,3.45078,4.163189,3.215074,4.21071,18.70557,7.614649,3.018511,3.607741,5.602002,5.638358,6.126612,7.257797,7.487857,4.756869,5.21911,5.33235,5.682831,5.234526,5.123597,3.21465,4.753992,8.045732,8.167023,10.04801,1.043486,10.14368,9.344419,43.40342,20.97176,12.70003,12.10105,10.81036,13.85941,7.570835,7.391726,12.36905,17.83345,18.21451,18.70068,13.26348,8.153315,15.40281,71.95226,21.1442,0,0,0,0
1986,13.44419,10.56871,11.09387,29.58787,2.846983,2.970284,2.674225,3.248792,2.767281,2.504416,4.508261,4.775723,6.947546,4.21513,11.33151,4.266059,2.546379,7.167416,3.415444,4.56196,14.79817,3.363728,22.28938,5.250551,4.599549,9.389001,3.188353,9.231822,3.125992,18.07784,3.522116,4.931997,3.394846,4.435502,18.93458,7.665824,3.122121,3.639521,5.626718,5.742718,6.160634,7.685549,7.454116,4.848166,5.4627,5.442037,5.915868,5.696614,5.210351,3.280296,4.765553,8.251367,8.359838,10.2244,1.059737,10.86482,9.45716,43.34027,20.24767,14.42342,14.07297,11.14555,13.9086,7.764304,7.563267,13.01813,18.3018,18.25598,19.41041,13.15142,8.43399,15.75224,74.26299,21.54347,0,0,0,0
1987,13.50676,12.04405,12.19178,28.82777,2.678982,2.93722,2.690366,3.310306,2.774734,2.559101,4.700211,4.643043,6.952009,4.210731,12.93545,4.344448,2.538052,7.182833,3.836908,4.540766,13.78919,3.387188,20.8499,5.224161,4.277147,8.913677,3.079992,8.76751,3.012861,17.10709,3.415371,5.740108,3.536536,4.848101,17.8118,7.397962,3.089197,3.515757,5.529765,5.498852,5.860169,7.577434,7.470078,4.729499,5.506854,4.89683,5.483621,5.824726,4.808252,3.237123,4.358004,7.598201,7.660184,9.470047,1.091769,10.28728,8.630811,41.63501,19.58345,11.49968,12.27458,8.408919,12.44987,6.671299,6.660715,12.1911,15.77342,16.77655,16.64761,12.78045,6.934235,13.51212,58.89899,19.44795,0,0,0,0
1988,14.92078,14.03998,14.25486,32.68617,2.78109,3.138681,2.907613,3.721855,2.999074,2.848491,5.17228,5.116102,7.299794,4.229204,14.8618,4.659451,2.555531,7.804302,4.710637,4.814045,14.40017,3.506414,21.31677,5.394686,4.480779,9.581579,3.172942,9.322938,3.138839,18.11839,4.057462,7.697595,4.09302,5.887852,18.84003,8.068905,3.489515,4.413754,6.372576,6.048746,6.766031,8.732314,8.516343,5.418508,6.577412,5.27892,6.378021,5.919211,5.732174,3.738651,4.724056,8.631467,9.286823,10.98363,1.269069,11.30455,9.911208,46.3964,20.91277,14.43542,13.86503,11.53171,15.05517,7.054467,7.452117,14.62831,18.42974,21.58649,19.53471,15.74429,9.416462,15.72197,80.77181,22.20918,0,0,0,0
1989,12.91664,12.49302,13.72218,28.85161,2.455301,2.861893,2.675062,3.394984,2.71108,2.557869,5.152753,4.571237,6.51553,4.198848,13.32048,4.32884,2.502846,7.378846,4.370868,4.540278,14.78291,3.300677,21.27033,4.982162,4.69456,9.375754,3.031003,9.257078,3.199325,18.17837,3.340336,7.657055,3.425783,6.099592,18.92702,7.545033,3.028624,3.722346,5.646954,5.7404,6.138557,7.92466,7.300987,4.883715,5.789208,5.598915,6.098166,5.8301,5.163179,3.885352,4.852874,8.643233,8.662728,10.2316,1.248044,13.33306,9.60294,39.86954,19.76639,15.22885,12.31966,10.15374,13.71345,8.404779,8.128007,13.45568,18.71417,23.14653,19.67841,16.98593,8.22919,16.20095,70.71284,20.72972,0,0,0,0
1990,11.76559,10.36387,10.20553,26.77877,2.28262,2.712511,2.611264,3.337918,2.582478,2.437884,5.133473,4.377056,6.278584,4.18812,13.08986,4.240068,2.446079,6.735327,4.234811,4.468343,14.74643,3.09315,21.1932,4.885005,4.294542,9.242879,2.937443,9.11364,3.037541,17.71339,3.106273,7.705526,3.198673,6.467984,18.64265,7.28251,2.88269,2.947079,5.180463,5.285336,5.545263,7.172667,6.779202,4.523697,5.416878,4.752193,5.372292,5.348578,4.387048,3.597322,4.497332,7.341883,7.430143,8.424104,0.8579178,10.35676,8.120452,47.25938,19.1779,14.83737,10.7028,10.25843,11.68543,7.56767,6.413694,10.36241,17.12559,22.74187,18.48963,13.51387,7.304302,15.17465,67.15356,20.74328,0,0,0,0
1991,14.00108,12.90563,14.50778,30.70741,2.59231,3.096654,2.932133,3.994913,2.862521,2.679872,6.188112,5.18919,6.623449,4.238086,14.9608,4.644028,2.503918,7.560799,5.186162,4.859877,14.18899,3.576431,21.58968,5.521404,4.703345,9.444057,3.315611,9.10111,3.327462,17.9314,3.763812,8.413705,4.021039,7.443503,18.39265,7.935686,3.35833,3.962859,6.245018,5.964588,6.47686,8.302925,7.720339,5.164719,6.437999,5.129881,6.215688,5.768408,5.238686,4.289852,5.353045,8.680642,8.659373,10.26544,1.331696,12.26128,9.375375,43.77922,21.17426,13.74292,12.18732,10.95789,14.02549,7.812577,7.386566,14.33928,17.80186,22.06417,19.15372,13.6092,8.531469,15.61252,73.04652,21.21509,0,0,0,0
1992,15.01106,13.86177,15.13982,32.98849,2.659689,3.279388,3.155184,4.402043,3.01592,2.856722,6.52003,5.511966,6.825683,4.264258,16.02901,4.955919,2.522233,7.807998,5.851377,4.818656,14.5647,3.652537,22.04556,5.585577,4.850835,9.387106,3.356727,9.26574,3.339449,17.94158,4.088287,7.510334,4.347097,7.358067,18.87871,8.081821,3.435868,4.305915,6.856688,6.208351,6.77062,8.837384,8.274446,5.521161,6.981212,5.223098,6.611595,6.082183,5.543908,4.455061,5.713152,9.112661,9.298215,10.71679,1.336736,12.19366,9.708891,42.77609,21.23041,15.25299,13.67156,11.15582,14.9531,7.781187,7.450722,14.52599,18.52829,20.18548,20.03381,15.14872,9.506415,16.5121,80.19169,22.52419,0,0,0,0
1993,12.27493,12.08824,12.59248,26.94765,2.163198,2.835267,2.792832,3.700866,2.637003,2.523867,5.517325,4.361124,6.299196,4.224228,13.21219,4.595552,2.479151,6.830952,5.011407,4.105692,14.49196,3.239306,21.46978,4.853252,4.300996,8.999426,3.040126,8.937576,2.962925,17.2646,3.05874,5.095296,3.45001,5.872468,18.52249,7.199682,2.778465,3.025171,5.369232,5.234833,5.403511,7.21475,6.815106,4.518319,5.576816,4.681599,5.36171,5.870676,4.194458,3.729954,4.780513,7.47487,7.129147,8.221225,1.017004,11.00773,7.861426,41.71338,19.56466,13.77748,11.06913,9.245669,11.39544,7.394785,6.345084,10.64135,16.24701,17.13139,17.41196,14.81727,6.797421,14.57827,60.2076,19.90752,0,0,0,0
1994,14.38314,13.73596,15.20261,30.87358,2.465997,3.161735,3.224011,4.472412,2.955395,2.867848,5.940451,5.30594,6.792637,4.266546,14.40307,5.13805,2.522666,7.420422,6.198073,4.644419,14.08174,3.643351,20.66711,5.466444,4.440673,9.42838,3.417145,9.142057,3.202548,17.89492,3.860547,5.535734,4.168395,6.165575,18.32278,7.894032,3.371533,3.97292,6.549683,5.831921,6.158193,8.210272,7.887772,5.201661,6.66235,4.785176,5.983456,6.422804,4.939827,4.35572,5.425329,8.308947,8.274566,9.616735,1.323092,11.29185,8.703484,43.1855,20.91321,13.93159,12.44723,10.7871,13.52384,7.008755,6.621253,13.69365,17.11239,18.75892,18.25471,14.68969,8.171556,14.84381,69.21314,20.49599,0,0,0,0
1995,17.40702,18.34481,20.95224,37.51456,2.79112,3.642584,3.722056,5.43092,3.351711,3.380242,6.61995,6.141685,7.467518,4.321954,15.00285,5.804063,2.643929,8.444859,7.04051,4.885816,14.28143,4.10237,20.70406,5.969741,5.049907,9.499717,3.803931,9.236688,3.492264,18.06548,4.572835,5.632197,5.074418,6.47835,18.49368,8.288002,3.719371,5.386821,7.930756,6.691952,7.420805,9.592253,9.305391,6.086867,7.929672,5.593286,7.126148,8.169534,6.124838,5.378743,6.471587,10.13504,10.37665,12.08606,1.764158,13.51163,10.66661,41.15992,21.22864,14.93514,14.20399,11.28407,16.96691,7.68251,7.929413,17.51513,19.17626,20.81241,20.10932,17.8279,10.53472,16.77663,83.37646,22.61572,0,0,0,0
1996,12.79533,12.0121,11.07812,28.49804,2.085983,2.904346,3.157064,4.207443,2.786947,2.806961,5.066882,4.448797,6.58122,4.247379,11.14647,4.973082,2.513315,6.566906,5.107518,3.749965,14.77699,3.17344,21.23228,4.682015,3.990586,8.864831,3.053794,8.981544,2.691127,17.13212,3.149526,3.617258,3.35005,4.50905,19.03798,6.918008,2.688729,2.948831,5.458685,5.122092,5.292141,7.01296,7.108305,4.653983,5.675011,4.45874,5.083386,7.361835,4.075714,3.86271,4.714346,7.000788,7.304426,7.473585,0.7445353,9.301681,7.248613,48.43027,18.65872,13.36098,11.3743,9.403072,11.38972,6.525391,5.701323,8.516609,17.17925,17.65242,17.83101,17.82981,7.501637,15.16964,69.50185,21.45739,0,0,0,0
