"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:39 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,16.64533,16.14012,16.68758,36.85947,3.825024,3.462915,2.996974,3.422984,3.218244,2.909371,6.158442,5.450553,8.944237,4.333612,9.687612,5.157067,3.850847,6.721538,4.377378,4.376938,15.46939,3.748276,21.36885,5.543499,5.147045,10.01681,3.856341,10.32327,3.988781,19.67933,4.340499,3.674459,4.517684,6.893852,19.06569,8.877028,3.721727,5.55137,6.49044,6.561416,7.32586,7.859542,9.543052,5.537872,6.239609,6.270881,6.861562,5.19699,6.849696,3.798385,6.531764,10.00612,9.965157,13.69989,1.513837,9.259661,12.12212,46.35828,23.99236,16.18452,14.52082,12.58728,18.98615,8.37801,8.886265,16.80118,21.01822,21.11574,20.93587,11.73331,11.15151,17.44786,88.60285,23.23713,0,0,0,0
2,17.42661,17.17305,18.72904,38.63799,3.938533,3.597014,3.058778,3.499851,3.296772,2.977796,6.373769,5.609015,8.88259,4.348895,9.890798,5.222995,3.887981,7.051951,4.542684,4.467402,15.28505,3.908671,21.05394,5.670873,5.480726,10.0558,3.953907,9.989935,4.131649,19.69872,4.48313,3.774438,4.686463,7.118614,19.20795,9.131188,3.845288,6.123523,6.880789,6.949507,7.81847,8.440042,9.898015,5.785259,6.558972,6.851925,7.449183,5.476113,7.470031,3.996354,7.016806,11.05081,11.07811,15.25296,1.7592,10.32903,13.39685,46.89269,26.13973,17.91343,16.23649,14.1284,21.24138,9.463737,9.992266,19.29701,22.70597,23.01258,23.11464,12.62504,12.8526,19.45949,102.2393,25.73495,0,0,0,0
3,19.03548,19.47972,23.40644,42.20124,4.212938,3.856782,3.185277,3.677978,3.453729,3.117795,6.86337,5.983809,8.97539,4.379107,10.34514,5.376579,4.012582,7.725492,4.916824,4.694313,15.56865,4.236428,21.4306,5.970294,6.151219,10.44281,4.189929,10.1661,4.466234,20.35422,4.815589,4.020124,5.092141,7.63413,19.8489,9.695644,4.140104,7.414906,7.66679,7.726739,8.825797,9.549209,10.63209,6.286018,7.240451,8.014167,8.609295,6.059574,8.742764,4.458349,8.028545,13.06917,13.32895,18.4467,2.324181,12.69504,16.03922,49.77847,29.88928,21.09279,19.39326,16.93335,25.80645,11.43081,12.17542,24.9149,25.89449,26.09309,26.81754,14.26181,16.10227,22.83822,123.5317,29.20055,0,0,0,0
4,20.46683,22.28417,27.07876,45.33849,4.420805,4.075179,3.301583,3.832645,3.590378,3.259057,7.180893,6.204257,9.063563,4.40542,10.70258,5.49661,4.144219,8.168569,5.212474,4.894408,15.41291,4.4862,21.2809,6.265771,6.467675,10.47937,4.355181,10.11814,4.662044,20.56179,5.035135,4.221002,5.527301,7.952878,19.71189,9.918077,4.277925,8.15796,8.097172,8.061405,9.43552,10.04538,11.17106,6.574748,7.619478,8.365896,8.99987,6.470494,9.187721,4.771224,8.375229,13.62765,13.86271,19.68643,2.654766,13.91506,17.01365,43.62864,27.57038,19.94789,18.44712,16.04255,26.7908,11.41925,12.68419,27.42091,24.7797,24.16838,25.45964,14.90091,15.78387,21.89255,109.5127,27.34347,0,0,0,0
5,21.55337,25.1322,28.93514,47.49189,4.554222,4.227235,3.394509,3.952668,3.701456,3.396572,7.310498,6.278481,9.108682,4.426787,10.9187,5.580731,4.257944,8.36557,5.388321,5.027802,14.70462,4.613319,20.42006,6.464978,6.489541,10.16929,4.422748,9.787169,4.715517,20.18926,5.130378,4.344948,5.930565,8.095989,19.0357,9.85421,4.27984,8.254588,8.255295,8.065381,9.643705,10.05967,11.51231,6.653798,7.745128,8.131602,8.847907,6.634492,9.013424,4.892433,8.211726,13.21767,13.25541,19.25306,2.665238,13.78305,16.6461,35.81205,23.72918,17.30512,16.03017,13.82186,25.4888,10.43227,11.96109,26.39013,22.24293,21.18937,22.48388,14.77146,14.02682,19.53293,94.42639,24.67068,0,0,0,0
6,21.76878,26.72761,27.76709,47.59027,4.515409,4.232607,3.413212,3.965662,3.730651,3.466538,7.122919,6.106363,9.019057,4.433316,10.86426,5.572189,4.273673,8.172665,5.318362,5.008249,13.60678,4.526306,19.04606,6.436478,6.109962,9.499643,4.328016,9.128635,4.550313,19.04097,4.993953,4.302485,6.091887,7.939294,17.87539,9.437876,4.096132,7.505522,7.948641,7.627797,9.279791,9.46352,11.4341,6.443861,7.462742,7.272962,8.012324,6.434506,8.125376,4.702625,7.456413,11.72169,11.47659,16.89334,2.288331,12.18361,14.75241,29.18618,18.95415,13.66807,12.62994,10.76265,21.81883,8.61324,10.1356,21.76666,18.82052,17.67533,18.56803,13.71709,11.18191,16.22283,77.8156,21.43136,0,0,0,0
7,21.3105,26.85991,24.93931,46.23274,4.372681,4.133389,3.374198,3.897312,3.69568,3.466992,6.770577,5.821928,8.830562,4.429574,10.6516,5.501596,4.199194,7.785529,5.101739,4.883649,12.61015,4.309057,17.8117,6.227358,5.584106,8.789638,4.141086,8.457271,4.278974,17.62391,4.723781,4.152782,6.01514,7.630721,16.78227,8.924433,3.842568,6.44991,7.448544,7.063838,8.665165,8.693979,11.10447,6.122957,7.007516,6.328877,7.039133,6.04665,7.103599,4.355447,6.569736,10.10661,9.667937,14.1738,1.785249,10.19214,12.56505,25.81511,15.27503,10.63822,9.818759,8.285104,18.07545,7.001565,8.286317,16.68197,16.0941,15.07018,15.5023,12.42315,8.808958,13.6334,64.10333,19.02183,0,0,0,0
8,20.53204,25.79171,21.95709,44.4365,4.20878,3.997647,3.310029,3.791,3.630446,3.417798,6.417261,5.563771,8.607455,4.421744,10.40729,5.409761,4.069226,7.404006,4.860334,4.724832,12.04456,4.064414,17.16976,5.929672,5.16455,8.300506,3.947399,8.036209,4.024078,16.4708,4.444947,3.975877,5.772844,7.325776,16.1468,8.515687,3.621005,5.582062,7.017391,6.642642,8.106835,8.126706,10.72501,5.860562,6.605159,5.691132,6.365766,5.666566,6.382143,4.018609,5.933883,9.075039,8.568509,12.25629,1.388726,8.626811,11.0314,27.70125,13.94202,9.134424,8.491923,7.138828,15.78342,6.212162,7.105144,12.9537,14.87163,14.17962,14.27107,11.5102,7.740654,12.70022,58.4649,18.55987,0,0,0,0
9,19.30215,23.63921,18.73144,41.89093,3.976604,3.797163,3.207959,3.624477,3.513074,3.304236,5.988495,5.2472,8.347065,4.405101,10.08634,5.270778,3.885467,6.93997,4.556706,4.51487,11.79763,3.77067,16.95338,5.557005,4.700727,7.91292,3.723317,7.739051,3.738132,15.50895,4.118036,3.750879,5.356174,6.938325,15.72763,8.10373,3.375643,4.763964,6.468592,6.157207,7.449717,7.483239,10.17904,5.556739,6.119293,5.075806,5.664568,5.23396,5.656254,3.648345,5.29768,8.003047,7.496915,10.48001,1.065766,7.278772,9.586771,31.52418,12.72183,7.806518,7.28924,6.096349,13.62154,5.423156,6.091857,9.930188,13.61207,13.16853,13.02483,10.58163,6.638432,11.63278,51.76674,17.78088,0,0,0,0
10,17.95481,21.13468,15.72942,39.2336,3.736122,3.584469,3.096915,3.44364,3.381109,3.169232,5.573253,4.941021,8.102572,4.385349,9.757283,5.121633,3.695329,6.493156,4.253198,4.297334,11.80905,3.487248,17.05623,5.188211,4.288277,7.661021,3.507003,7.585807,3.471429,14.86111,3.812109,3.525079,4.889649,6.552398,15.5859,7.765758,3.151892,4.084031,5.948919,5.721183,6.834574,6.907916,9.6173,5.273992,5.659415,4.586478,5.089191,4.834923,5.061164,3.308834,4.767963,7.133344,6.683711,9.09852,0.8179647,6.203173,8.445925,36.33069,12.12457,6.908987,6.489944,5.405236,12.00611,4.857422,5.341067,7.703808,12.76732,12.55739,12.23091,9.871786,5.854273,10.9301,46.73106,17.36807,0,0,0,0
