"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1980,1,1,1,1,1,1,1,1,1,1,1,1,0.8622994,1,1,1,0.8650411,1,1,1,0.7191737,1,0.7216052,1,1,0.7796085,1,0.8032122,1,0.7827122,1,1,1,1,0.8084601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1981,1,1,1,1,1,1,1,1,1,1,1,1,1.205977,1,1,1,1.503223,1,1,1,1.175856,1,1.032272,1,1,1.295053,1,1.185516,1,1.29216,1,1,1,1,1.666692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.320576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1982,1,1,1,1,1,1,1,1,1,1,1,1,1.908458,1,1,1,2,1,1,1,1.099168,1,0.9158771,1,1,1.857985,1,1.489331,1,1.549938,1,1,1,1,1.25792,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.182245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1983,1,1,1,1,1,1,1,1,1,1,1,1,1.842403,1,1,1,2,1,1,1,0.7373078,1,0.5984616,1,1,1.411593,1,1.092496,1,1.098005,1,1,1,1,0.9232861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8836672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1984,1,1,1,1,1,1,1,1,1,1,1,1,1.94986,1,1,1,2,1,1,1,1.146783,1,0.8989506,1,1,1.418399,1,1.322367,1,1.113426,1,1,1,1,1.174653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.608972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1985,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.0246,1,0.8733692,1,1,1.549838,1,1.354232,1,1.153397,1,1,1,1,1.055162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.293869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1986,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.040743,1,0.8153684,1,1,1.636233,1,1.378446,1,1.096289,1,1,1,1,0.9149368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.112374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9324245,1,0.6863692,1,1,1.549257,1,1.368021,1,0.9895993,1,1,1,1,0.8126976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.166847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1988,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9116814,1,0.6649736,1,1,1.480749,1,1.272341,1,0.9215977,1,1,1,1,0.9449919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.261908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1989,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.150746,1,0.883404,1,1,1.605398,1,1.522227,1,1.090623,1,1,1,1,1.055943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.112932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1990,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.261592,1,1.020848,1,1,1.858821,1,1.636915,1,1.130072,1,1,1,1,1.036972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.476698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9678572,1,0.775067,1,1,1.607628,1,1.361129,1,0.930418,1,1,1,1,0.7994584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.215568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9225073,1,0.6642603,1,1,1.349558,1,1.229706,1,0.8128983,1,1,1,1,0.8289233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.051457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1993,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.182889,1,0.8983216,1,1,1.588872,1,1.590355,1,1.017946,1,1,1,1,1.012601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.26071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1994,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9477752,1,0.7702162,1,1,1.443272,1,1.352537,1,0.851101,1,1,1,1,0.8602985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.146549,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
