"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FIB

timestep,value
1,0.09960802
2,0.1381322
3,0.2045605
4,0.2668628
5,0.3080592
6,0.3175275
7,0.2966587
8,0.2576915
9,0.21207
10,0.1622745
11,0.1184625
12,0.06831116
13,-0.08976605
14,-0.08989406
15,-0.07973266
16,-0.04143185
17,0.02743582
18,0.08970236
19,0.1333021
20,0.151612
21,0.1461879
22,0.1324624
23,0.1107155
24,0.09439581
25,0.155166
26,0.1523136
27,0.1647043
28,0.1800976
29,0.198427
30,0.2086402
31,0.1989548
32,0.1677289
33,0.1184714
34,0.06010269
35,0.02926387
36,0.0280213
37,0.1589773
38,0.2015672
39,0.2529352
40,0.3100851
41,0.3682764
42,0.4043143
43,0.4079222
44,0.3753766
45,0.3114221
46,0.2332604
47,0.1871289
48,0.1662914
49,0.229226
50,0.2190972
51,0.2323438
52,0.2711535
53,0.3308405
54,0.3779452
55,0.3903018
56,0.3661146
57,0.3161818
58,0.2749432
59,0.2573297
60,0.2592117
61,0.1477414
62,0.1838972
63,0.2297437
64,0.2797286
65,0.3368973
66,0.3884769
67,0.4070553
68,0.3732988
69,0.3015931
70,0.2306108
71,0.2002301
72,0.1858915
73,0.1516833
74,0.1597714
75,0.1750963
76,0.1903539
77,0.2061066
78,0.2106286
79,0.1910776
80,0.1478716
81,0.11961
82,0.114922
83,0.127894
84,0.1389147
85,0.2574395
86,0.2841248
87,0.3191338
88,0.3432647
89,0.346888
90,0.3257731
91,0.2787988
92,0.2079804
93,0.1267456
94,0.05059359
95,0.00604515
96,0.009694352
97,0.05361575
98,0.1435206
99,0.2437581
100,0.3027514
101,0.3082227
102,0.2686263
103,0.1945757
104,0.1053486
105,0.01900925
106,-0.04183374
107,-0.05763713
108,-0.0140463
109,0.07364067
110,0.1300195
111,0.2038787
112,0.2731101
113,0.3223953
114,0.3482085
115,0.3386113
116,0.295268
117,0.2343958
118,0.1671602
119,0.09909742
120,0.05388326
121,-0.005464177
122,0.02579755
123,0.07736897
124,0.1368613
125,0.1928687
