"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,ShannonDiversity

timestep,value
1,1.712349
2,1.689616
3,1.718161
4,1.786111
5,1.839735
6,1.911359
7,1.958253
8,1.910382
9,1.899621
10,1.875241
11,1.764675
12,1.900563
13,1.718017
14,1.555904
15,1.584631
16,1.592759
17,1.68144
18,1.806571
19,1.900421
20,1.982886
21,2.035051
22,1.914443
23,1.878074
24,1.744741
25,1.700009
26,1.717992
27,1.752562
28,1.806744
29,1.804919
30,1.832805
31,1.881708
32,1.893297
33,1.91805
34,1.882344
35,1.676427
36,1.674312
37,1.737111
38,1.80616
39,1.842888
40,1.869891
41,1.892401
42,1.939802
43,2.039418
44,2.141671
45,2.165551
46,1.934453
47,1.660159
48,1.694549
49,1.746167
50,1.761417
51,1.800821
52,1.85631
53,1.912038
54,1.96584
55,2.035346
56,2.107283
57,2.008766
58,1.814459
59,1.757612
60,1.747705
61,1.782657
62,1.802017
63,1.851211
64,1.895584
65,1.930412
66,1.976282
67,2.015956
68,1.984524
69,1.86902
70,1.702433
71,1.670754
72,1.753508
73,1.765206
74,1.79141
75,1.820678
76,1.84071
77,1.828245
78,1.861768
79,1.947532
80,1.995642
81,1.751072
82,1.698363
83,1.714588
84,1.77363
85,1.791924
86,1.768399
87,1.790145
88,1.837848
89,1.856999
90,1.870229
91,1.962506
92,1.974374
93,1.996666
94,1.834733
95,1.601225
96,1.522014
97,1.650738
98,1.792602
99,1.86422
100,1.956676
101,2.136464
102,2.271258
103,2.27655
104,2.21445
105,2.0476
106,1.70483
107,1.475872
108,1.544655
109,1.683771
110,1.788914
111,1.867886
112,1.915038
113,1.908634
114,1.886316
115,1.967275
116,1.945801
117,1.895108
118,1.859724
119,1.84265
120,1.694129
121,1.609084
122,1.639741
123,1.71016
124,1.771764
125,1.82128
126,1.878936
127,1.938609
128,1.964525
129,1.940662
130,1.893731
131,1.761125
132,1.654588
133,1.685162
134,1.751245
135,1.809863
136,1.848037
137,1.877624
138,1.939724
139,2.036244
140,2.06199
141,2.051816
