"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,TotalCatch

year,value
1980,4.23308
1981,3.312043
1982,3.7147
1983,4.846396
1984,5.140722
1985,4.595668
1986,4.012277
1987,4.37045
1988,3.780681
1989,4.267197
1990,3.691511
1991,4.552869
1992,4.811037
1993,4.635996
1994,5.02749
1995,4.707518
1996,3.862961
1997,4.476404
1998,4.115651
1999,5.154275
2000,4.459558
2001,4.070539
2002,4.706298
2003,4.584095
2004,4.752658
2005,4.338215
2006,4.203253
2007,3.864196
2008,2.82322
2009,3.487893
2010,5.327565
2011,5.843067
2012,5.159215
2013,4.393125
2014,4.293624
2015,4.402947
2016,6.222081
