"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1980,0,0,0,0,0,0,0,0,0.0005694442,0,0,9.293443E-05,0,0,0.003578635,0,0,0.01634491,0,0,0,0,0.0001547739,0,0.0004327532,0.0006839882,0,0,0,1.682292E-08,0,0,0.0001790616,0.004352061,6.16428E-09,0,0,0,0,0.002304059,0.02071219,0.04884279,0.0003954144,0.002148913,0.005464394,0.01349199,0.06316823,0.003967864,0.0003622285,0,0,0.002861784,8.482837E-05,0.0003802872,0,0,0.008306743,0.002030313,0,0,0,0,1.092819E-05,0.04279842,0.001276387,0.0002606444,0,0,0,0,0.03307857,0.03607615,0.002256215,9.048487E-06,0,0,0,0
1981,0,0,0,0,0,0,0,0,0.0005846593,0,0,8.577856E-05,0,0,0.004744974,0,0,0.01674927,0,0,0,0,0.0001405618,0,0.0004169343,0.0006618148,0,0,0,1.585665E-08,0,0,0.001138347,0.001541655,5.286459E-09,0,0,0,0,0.002263248,0.02149232,0.05019097,0.0003797904,0.002311416,0.005117812,0.01233397,0.06266416,0.01313574,0.000310981,0,0,0.002818487,6.994443E-05,0.0004272305,0,0,0.008219487,0.001424542,0,0,0,0,8.079037E-06,0.04916931,0.0009365701,0.0001328955,0,0,0,0,0.03431937,0.03684269,0.0009440859,9.375335E-06,0,0,0,0
1982,0,0,0,0,0,0,0,0,0.0005264668,0,0,6.7525E-05,0,0,0.003596338,0,0,0.01509713,0,0,0,0,0.0001066422,0,0.0004266242,0.0005227296,0,0,0,1.566237E-08,0,0,0.00151778,0.001781232,4.995764E-09,0,0,0,0,0.001967251,0.02043465,0.04397082,0.0003616902,0.002087974,0.003005121,0.01090125,0.05449057,0.01592501,0.0003046657,0,0,0.002594662,5.186224E-05,0.0004307813,0,0,0.008553326,0.001153018,0,0,0,0,9.015864E-06,0.04159263,0.001045436,0.0001011649,0,0,0,0,0.03565045,0.0410585,0.001576045,1.162844E-05,0,0,0,0
1983,0,0,0,0,0,0,0,0,0.0005801447,0,0,6.806026E-05,0,0,0.002625952,0,0,0.01550672,0,0,0,0,0.0001331792,0,0.0004572094,0.0006638393,0,0,0,1.660649E-08,0,0,0.0005151055,0.003609536,5.890637E-09,0,0,0,0,0.00215939,0.02059546,0.04727263,0.0003629254,0.002493413,0.003385234,0.01427658,0.05772246,0.02118775,0.0003580763,0,0,0.003416114,7.017593E-05,0.0005643843,0,0,0.0103443,0.001574197,0,0,0,0,1.193892E-05,0.0416233,0.001349902,0.0002136514,0,0,0,0,0.04081013,0.04595919,0.003094771,1.286199E-05,0,0,0,0
1984,0,0,0,0,0,0,0,0,0.000615426,0,0,6.943609E-05,0,0,0.002034597,0,0,0.01506786,0,0,0,0,0.0001264866,0,0.0004870142,0.0006623467,0,0,0,1.476811E-08,0,0,0.0001917029,0.0009868732,5.22103E-09,0,0,0,0,0.00233787,0.02112247,0.05048278,0.0003747917,0.002982755,0.003396226,0.01614846,0.05944099,0.02256378,0.0003940852,0,0,0.004009748,7.634708E-05,0.0006085794,0,0,0.01041966,0.003182836,0,0,0,0,1.070097E-05,0.04210291,0.001270407,0.0001704229,0,0,0,0,0.04016469,0.04939199,0.001125375,1.279929E-05,0,0,0,0
1985,0,0,0,0,0,0,0,0,0.0006139018,0,0,6.566065E-05,0,0,0.001413514,0,0,0.01320902,0,0,0,0,0.0001145666,0,0.0004687905,0.0006872157,0,0,0,1.379655E-08,0,0,0.00200585,0.002098448,4.836195E-09,0,0,0,0,0.002374802,0.0183599,0.04664646,0.0003141559,0.003291795,0.003125958,0.0169935,0.05218279,0.02119983,0.0003520567,0,0,0.004459159,7.892163E-05,0.0005371767,0,0,0.009308268,0.00149864,0,0,0,0,9.400144E-06,0.03753123,0.001050217,0.0001092079,0,0,0,0,0.03454604,0.04893421,0.001484135,1.141143E-05,0,0,0,0
1986,0,0,0,0,0,0,0,0,0.0006373049,0,0,5.814856E-05,0,0,0.001229885,0,0,0.01170669,0,0,0,0,7.162776E-05,0,0.0005193522,0.0006581002,0,0,0,1.30212E-08,0,0,0.001239141,0.008879074,4.414272E-09,0,0,0,0,0.002331802,0.01889159,0.04462326,0.0003272483,0.003467116,0.002602879,0.01759433,0.05128733,0.03419659,0.0003736189,0,0,0.004840486,7.698315E-05,0.0006358303,0,0,0.009586076,0.001324385,0,0,0,0,1.080102E-05,0.04541272,0.001099523,0.000113718,0,0,0,0,0.03200443,0.05889435,0.001604518,1.047252E-05,0,0,0,0
1987,0,0,0,0,0,0,0,0,0.0005732189,0,0,6.119296E-05,0,0,0.0009669249,0,0,0.01047271,0,0,0,0,4.874273E-05,0,0.0004490284,0.000693373,0,0,0,1.166888E-08,0,0,0.0006623438,0.005335378,4.24662E-09,0,0,0,0,0.002151968,0.01769953,0.03584557,0.0003212043,0.002466273,0.00243166,0.01658411,0.04520147,0.01978383,0.000386876,0,0,0.003704159,6.289538E-05,0.0008032127,0,0,0.0102799,0.0008924292,0,0,0,0,1.166849E-05,0.03830402,0.001149624,0.0001385698,0,0,0,0,0.02873875,0.05715312,0.001621816,9.272375E-06,0,0,0,0
1988,0,0,0,0,0,0,0,0,0.0006396919,0,0,5.649029E-05,0,0,0.0006617675,0,0,0.009468556,0,0,0,0,4.685312E-05,0,0.0004561583,0.0007683067,0,0,0,1.12274E-08,0,0,0.0007985432,0.005441094,4.345415E-09,0,0,0,0,0.002279421,0.01661309,0.03782767,0.0003082568,0.002900657,0.002666411,0.01788119,0.04260118,0.01206305,0.0004555206,0,0,0.004297247,6.651441E-05,0.0006084624,0,0,0.007910377,0.00122947,0,0,0,0,1.145483E-05,0.04107278,0.001019898,0.0001581251,0,0,0,0,0.02627626,0.05132412,0.001619466,8.062424E-06,0,0,0,0
1989,0,0,0,0,0,0,0,0,0.0005240015,0,0,4.561353E-05,0,0,0.0006600979,0,0,0.007882969,0,0,0,0,3.806326E-05,0,0.0003849406,0.000626649,0,0,0,1.050232E-08,0,0,0.0005348845,0.004705817,4.43031E-09,0,0,0,0,0.001950937,0.01526435,0.03060115,0.0002768039,0.002156218,0.001926838,0.01506173,0.03690417,0.01615931,0.0004387494,0,0,0.003270454,4.652694E-05,0.0006848779,0,0,0.007945738,0.001347863,0,0,0,0,1.017833E-05,0.04383874,0.0009614422,0.000142411,0,0,0,0,0.0273104,0.05715849,0.001835344,1.229899E-05,0,0,0,0
