Title,BKT_SED29U_Br,BKT_SED29U_C,BKT_SED29U_F,DUS_SED21U_Br,DUS_NOAA_Cr,DUS_SED21U_F,SNB_SED54_Br,SNB_NOAA_C,SNB_SED54_F,LCS_SED11_Br,LCS_NOAA_C,LOS_Mako_PelLL_ICCAT_Br,LOS_NOAA_C,LOS_ICCAT_F,ASN_SED34_Br,ASN_NOAA_C,ASN_SED34_F,SCS_SED34_Br,SCS_NOAA_C,YFT_PelLL_ICCAT_Br,YFT_NOAA_C,YFT_ICCAT_F,BFT_GOMPelLL_ICCAT_Br,BFT_NOAA_C,BFT_ICCAT_F,TUN_PelLL_ICCAT_Br,TUN_NOAA_C,BIL_PelLL_ICCAT_Br,BIL_ICCAT_C,BIL_ICCAT_F,SWO_PelLL_ICCAT_Br,SWO_NOAA_Cr,SWO_ICCAT_F,PCP_SMP_TRWL_Br,PCP_NOAA_C,GAJ_SED33U_Br,GAJ_SED33U_F,GAJ_SED33U_C,COB_SED28_Br,COB_SED28_F,COB_SED28_C,KM_0_SED38_Br,KM_1_SED38_Br,KM_1_SED38_F,KM_1_SED38_C,SM_0_SED28_Br,SM_1_SED28_Br,SM_1_SED28_F,SM_1_SED28_C,RAY_NOAA_C,RAY_SMP_TRWL_Br,Gag_0_SED33U_Br,Gag_3_SED33U_Br,Gag_3_SED33U_F,Gag_3_SED33U_C,RGR_0_SED61_Br,RGR_3_SED61_Br,RGR_3_SED61_F,RGR_3_SED61_C,YEG_0_SED22_Br,YEG_3_SED22_Br,YEG_3_SED22_F,YEG_3_SED22_C,GOL_SED47_Br,GOL_NOAA_C,GOL_SED47_F,DWG_NOAA_Cf,SWG_YMG_SMP_VID_Br,SWG_NOAA_Cf,RSN_0_SED52_Br,RSN_1_SED52_Br,RSN_1_SED52_F,RSN_1_SED52_Cr,RSN_3_SED52_Br,RSN_3_SED52_F,RSN_3_SED52_C,VSN_SED67_Br,VSN_SED67_F,VSN_SED67_C,MSN_SED15AU_Br,MSN_SED15AU_F,MSN_SED15_C,OSN_SMP_TRWL_Br,OSN_NOAA_C,CoP_NOAA_C,ST_NOAA_C,ST_SMP_TRWL_Br,OcP_NOAA_C,OcP_SMP_TRWL_Br,BeP_NOAA_C,BeP_SMP_TRWL_Br,ReP_NOAA_C,ReP_SMP_TRWL_Br,RIF_NOAA_C,RIF_SMP_TRWL_Br,DCIF_NOAA_C,DCIF_SMP_TRWL_Br,RD_DISL_Br,RD_SED49_Cf,BCIF_NOAA_C,BCIF_SMP_TRWL_Br,TLF_SED22_Br,TLF_SED22_F,TLF_SED22_C,GTR_SED43_Br,GTR_SED43_F,GTR_SED43_C,CoOm_NOAA_C,CoOm_SMP_TRWL_Br,ReOm_NOAA_C,SRF_NOAA_C,SHS_NOAA_C,SHS_SMP_TRWL_Br,MEN_0_SED63_Br,MEN_1_SED63_Br,MEN_1_SED63_F,MEN_1_SED63_Cr,MEN_2_SED63_Br,MEN_2_SED63_F,MEN_2_SED63_C,MEN_3_SED63_Br,MEN_3_SED63_F,MEN_3_SED63_Cr,MEN_4_SED63_Br,MEN_4_SED63_F,MEN_4_SED63_Cr,ASK_SMP_TRWL_Br,MUL_NOAA_Cf,BUT_SMP_TRWL_Br,CEP_SMP_TRWL_Br,PSHR_SEFSC_2018_Br,PSHR_SEFSC_2018_F,PSHR_SEFSC_2018_C,BSHR_SEFSC_2018_Br,BSHR_SEFSC_2018_F,BSHR_SEFSC_2018_C,WSHR_SEFSC_2018_Br,WSHR_SEFSC_2018_F,WSHR_SEFSC_2018_C,CRB_SMP_TRWL_Br,CRB_GDAR_F,CRB_NOAA_C,MEP_SMP_TRWL_Br,MEP_NOAA_C,Comm_Dredge_Dig_E,Comm_Handline_E,Comm_Longline_Fish_E,Comm_Longline_Pelagic_E,Comm_Longline_Shark_E,Comm_Nets_E,Comm_Other_E,Comm_Pots_Traps_E,Comm_Purse_Menhaden_E,Comm_Purse_Other_E,Comm_Trawl_Bottom_Other_E,Comm_Trawl_Bottom_Shrimp_E,Rec_Headboat_E,Rec_Shore_E,Rec_Charterboat_E,Rec_Private_E
Weight,1,0.5,1,1,0.5,1,1,0.5,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1,3.780804,1,1,9.041582,1,1,0.5507761,1,10.68338,1,7.849558,7.877365,1,2.91,12.2896,15.03008,1,17.73258,5.112123,10.77956,1,5.71,1,2.614893,15.31569,22.11895,1,7.413274,4.539572,7.229329,1,4.981294,7.793356,20.71111,1,27.13943,13.16751,1,1,1,1,1,15.86679,14.57079,1,20,13.27479,1,19.99999,21.1723,1,10.23861,13.16751,1,1,0.6932759,1,1,1,5.565316,1,3.271817,1,14.35518,1,3.052946,1,9.223392,1,5.064911,1,1,1,11.36967,3.635466,1,3.212409,5.744619,1,10.67698,1,10.38573,1,1,1,3.028041,1,13.16751,1,5.496166,13.16751,1,5.496166,13.16751,1,5.496166,13.16751,1,5.496166,2.740988,1,1.423256,4.988521,13.16751,1,0.9711504,13.16751,1,10.62443,13.16751,1,7.981335,0.5516898,1,1,0.6295805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pool code,6,6,6,7,7,7,8,8,8,9,9,10,10,10,11,11,11,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,17,18,18,19,19,19,20,20,20,21,22,22,22,23,24,24,24,25,25,26,27,27,27,28,29,29,29,30,31,31,31,32,32,32,33,34,34,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,50,51,51,51,52,52,53,54,57,57,58,59,59,59,60,60,60,61,61,61,62,62,62,63,64,65,66,67,67,67,68,68,68,69,69,69,70,70,70,72,72,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Pool code 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type,BiomassRel,Catches,FishingMortality,BiomassRel,CatchesRel,FishingMortality,BiomassRel,Catches,FishingMortality,BiomassRel,Catches,BiomassRel,Catches,FishingMortality,BiomassRel,Catches,FishingMortality,BiomassRel,Catches,BiomassRel,Catches,FishingMortality,BiomassRel,Catches,FishingMortality,BiomassRel,Catches,BiomassRel,Catches,FishingMortality,BiomassRel,CatchesRel,FishingMortality,BiomassRel,Catches,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,Catches,BiomassRel,BiomassRel,FishingMortality,Catches,BiomassRel,BiomassRel,FishingMortality,Catches,Catches,BiomassRel,BiomassRel,BiomassRel,FishingMortality,Catches,BiomassRel,BiomassRel,FishingMortality,Catches,BiomassRel,BiomassRel,FishingMortality,Catches,BiomassRel,Catches,FishingMortality,CatchesForcing,BiomassRel,CatchesForcing,BiomassRel,BiomassRel,FishingMortality,CatchesRel,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,Catches,BiomassRel,Catches,Catches,Catches,BiomassRel,Catches,BiomassRel,Catches,BiomassRel,Catches,BiomassRel,Catches,BiomassRel,Catches,BiomassRel,BiomassRel,CatchesForcing,Catches,BiomassRel,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,Catches,Catches,BiomassRel,Catches,Catches,Catches,BiomassRel,BiomassRel,BiomassRel,FishingMortality,CatchesRel,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,CatchesRel,BiomassRel,FishingMortality,CatchesRel,BiomassRel,CatchesForcing,BiomassRel,BiomassRel,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,Catches,BiomassRel,FishingMortality,Catches,BiomassRel,Catches,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort,FishingEffort
1980,0,0,0.008,1.661,0.000162478,0.018,1.898215,1.18E-05,0.054,1.044402,0.000259965,1.41,0,0.019,1.337207,0.0002079,0.209,1.493524,1.18E-05,0,0,0.194,0,1.48E-05,0.161,0,0.001526056,0,0,0.314,0,0.002780645,0.079,0,0.009873187,2.130339,0.1581725,0.004603499,1.116987,0.244325,0.002708187,0.3692757,1.143256,0.04823697,0.006758745,1.05016,1.144189,0.1307223,0.008223603,0.000339305,0,0.6761281,0.8312649,0.2351961,0.004262261,0,0,0.2289277,0,1.004183,1.960697,0.02638234,0.001274761,0.7441737,0.000296121,0.212,0.000175643,0,0,1.448084,0.6406488,0.4821796,0.004581201,0.6111042,0.2516106,0.01063719,1.553695,0.01245046,0.000918788,0,0.141377,0,0,0.001033108,0.01703681,0.02151427,0,0.000368014,0,2.42E-07,0,9.94E-07,0,0.003186758,0,0.03826261,0,0,0.004006633,7.45E-05,0,1.887671,0.005826001,4.09E-05,1.604461,0.03720255,0.002035232,0.000109526,0,3.78E-06,0.000321754,0.007586128,0,0,0.7653532,0.2487528,0.758881,1.224817,0.6264164,1.254412,1.407899,0.4998318,0.2157176,0.9646551,0.4368842,0.03170095,0,0.04297783,0,0,0,0.1657744,0,0,1.975965,0,0,0.08229754,0,0,0.8192185,0.06284988,0,0.03434955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1981,1.062361,0.000794463,0.008,1.661,0.000194801,0.021,1.889193,3.69E-05,0.247,1.05037,0.000521736,1.4,0,0.03,1.332158,0.004802549,0.258,1.462335,3.80E-05,0,0,0.244,0,3.80E-05,0.169,0,0.000554186,0,0.000661356,0.36,0,0.0019,0.069,0,0.01489084,1.92341,0.1018752,0.002677003,1.075492,0.2127137,0.002270204,0.4741083,1.095918,0.04521432,0.006072903,1.05253,1.159661,0.1623064,0.0103486,0.000290835,0,0.6577063,0.8446904,0.2229965,0.004106445,0,0,0.2280972,0,1.019925,1.906818,0.08500535,0.003994483,0.7971398,0.000268371,0.702,0.001146984,0,0.001675636,1.798631,1.032513,0.4332055,0.006633459,0.4989289,0.260967,0.009007556,1.531275,0.01362849,0.000991209,1.097655,0.1338496,0.002061716,0,0.002006075,0.01856927,0.03882315,0,0.000290293,0,0.001506866,0,0.004843412,0,0.01210297,0,0.05287946,0,0,0.01354008,0.000110437,0,1.864405,0.05226895,0.000362161,1.540872,0.07775563,0.004085172,0.002525527,0,8.33E-05,0.000317129,0.008132322,0,0,1.452931,0.1798301,1.04148,0.7209361,0.4888152,0.5761655,1.129841,0.3859917,0.1336859,1.241848,0.3376495,0.03154049,0,0.04963896,0,0,0,0.1657115,0,0,2.035597,0,0,0.07483757,0,0,0.8401203,0.06217127,0,0.02882903,1.096824,1.028938,1.175436,1,0.9902912,1.108907,1.052288,0.9844039,0.9926705,1.56,0.8159204,1.551355,0.9956549,1.227016,1,1
1982,1.062361,0.000968047,0.008,1.643516,0.000216795,0.024,1.845459,0.000120672,0.209,1.032466,0.000989023,1.39,1.13E-05,0.034,1.320058,0.000253096,0.247,1.422838,0.000122537,0,0.000311945,0.268,0,4.68E-05,0.052,0,0.000406623,0,1.61E-05,0.377,0,0.002148387,0.086,9.47E-05,0.01781681,2.027331,0.2460427,0.006814645,1.07783,0.3362387,0.003596338,1.174227,1.03925,0.05656645,0.007204794,1.038482,1.076175,0.2206905,0.01305814,0.000519447,0.005592559,1.0542,0.8340997,0.2817556,0.005123432,0,0,0.2262094,0,0.9803625,1.74394,0.1541068,0.006623056,0.5084746,0.001894643,0.498,0.001543733,0,0.001950652,1.015167,1.575028,0.3735514,0.008725475,0.3962496,0.2121462,0.005815498,1.514155,0.02261631,0.001626509,1.118804,0.1355065,0.002127452,0.009341946,0.002594512,0.02442439,0.04486984,0.01384767,0.000448955,0.0001,0.00192865,0.07570208,0.000618381,0,0.01212609,0.06609562,0.05663475,0.04308185,0,0.01645816,0.002371735,0.09955232,1.783359,0.06668099,0.000441935,1.399028,0.08450159,0.00403091,0.001730994,0.04026079,0.000136935,0.000236567,0.01207451,0.002356801,0,1.409551,0.215976,1.213473,1.494719,0.5639177,1.378101,0.9156901,0.4477832,0.1256917,1.408257,0.3915394,0.04147545,0.002855219,0.04147091,0.0001,0.007268826,0,0.166538,0,0,1.958179,0,0,0.07843728,0,0.01864772,0.8187047,0.05412621,0.02543115,0.02690053,1.183062,1.028912,1.175257,1,0.9791955,1.202467,1.27451,1.009709,1.041746,1.733333,0.6766169,1.574366,1.012794,1.505568,1.000734,0.700496
1983,1.058352,0.000476618,0.005,1.626032,0.000257485,0.029,1.805775,0.000530447,0.385,1.02053,0.000463524,1.39,0,0.038,1.311972,0.002345769,0.239,1.380285,0.000189706,0,0.000224099,0.293,0,0.000120061,0.083,0,0.000483105,0,1.29E-05,0.422,0,0.001296774,0.101,0.003798802,0.01788552,1.8372,0.1621667,0.0040703,0.8952181,0.2902621,0.002578586,0.3448741,0.9735228,0.06011656,0.0071727,1.018948,0.98334,0.163911,0.008861899,0.000593641,0.005864298,1.130201,0.8444895,0.3100885,0.005708873,0,0,0.2324766,0,0.9729145,1.475423,0.1398831,0.005086125,0.407839,0.000255388,0.232,0.000510872,0,0.003963266,0.4676463,1.442853,0.4100263,0.008773727,0.4188258,0.3065732,0.008882811,1.489452,0.01687213,0.001193605,1.085702,0.1547749,0.002358071,0.006365864,0.003135172,0.02765797,0.04779884,0.05244337,0.000494819,0.007079257,0.005153651,0.07863827,0.000811035,0.001071391,0.01431809,0.04715599,0.05927293,0.2789989,0,0.02164925,0.002750625,0.1705617,1.687942,0.05436506,0.000341032,1.281703,0.06017529,0.002629769,0.001812087,0.04188846,4.63E-05,3.82E-05,0.009515841,0.01016339,0,1.031827,0.277216,1.140168,1.385629,0.6766679,1.532951,1.609718,0.5421259,0.2675101,1.057122,0.4736935,0.03766661,0.003369599,0.04118083,0.006560762,0.02686076,0,0.1650738,0,0,1.934118,0,0,0.09361777,0,0.03936823,0.7988306,0.05932061,0.05702893,0.02512046,1.227214,1.029072,1.176242,1,0.8307906,1.285581,1.326797,1.071239,1.044933,1.786667,0.6119403,1.387829,0.9915512,1.847356,0.9752251,0.881149
1984,1.058352,0.000635702,0.006,1.608548,0.000227728,0.036,1.739182,0.000126294,0.271,1.02053,0.0004892,1.38,0.000107,0.04,1.24512,0.000291261,0.242,1.349727,0.000192475,0,0.001256353,0.205,0,0.00025697,0.082,0,0.000335879,0,4.84E-05,0.435,0,0.001277419,0.095,0.004119194,0.01782576,1.824007,0.1464292,0.003648905,0.6936877,0.3157102,0.002173276,0.5211868,0.9207503,0.06825242,0.007701978,1.010718,0.947458,0.1391259,0.007247409,0.000568387,0.001570112,0.7946351,0.8753355,0.1938038,0.003698344,0,0,0.2256056,0,0.9218862,1.279362,0.128645,0.00405594,0.4449153,0.000215572,0.399,0.000191169,0,0.001079594,0.3408294,0.789368,0.2137096,0.002501808,0.4801765,0.293768,0.009758614,1.476776,0.03765317,0.002641074,1.059496,0.1598509,0.002376623,0.01144728,0.006547467,0.02646251,0.04452527,0.05045403,0.000515807,0.01185764,0.001105963,0.06690352,0.000248649,0.001524973,0.01389354,0.04128068,0.04773461,0.2971256,0,0.02320423,0.000599576,0.1426817,1.615436,0.07360706,0.000441903,1.237626,0.02949222,0.00124454,0.002329727,0.02943121,7.28E-05,4.06E-05,0.01059993,0.02210388,0,1.168599,0.3581074,1.668103,0.9354872,0.8011689,1.225371,1.112609,0.6487833,0.2212751,1.252388,0.5663421,0.05335213,0.01152094,0.04217377,0.06521497,0.02237499,0.489122,0.1655228,0.007202926,0.6471918,2.214495,0.1199992,1.715916,0.05245766,0.08198453,0.04567793,0.9028255,0.08258679,0.03206399,0.02641499,1.228376,1.028831,1.17481,1,1.191401,1.197956,1.43573,1.181268,1.029159,1.88,0.5323383,1.723566,0.9826197,2.266735,1.02404,0.9668158
1985,1.054343,0.000842967,0.007,1.591064,0.000204964,0.044,1.68566,5.28E-05,0.225,1.008594,0.001444907,1.37,0,0.087,1.246504,0.000283,0.275,1.324848,0.000102694,0,0.004757096,0.273,0,0.000217761,0.104,0,0.000368958,0,0.000165484,0.42,0,0.002051613,0.111,0.001125022,0.0130952,1.8072,0.2203511,0.005440387,0.7845094,0.3448646,0.002684783,0.7761942,0.8583815,0.05773815,0.006074152,1.413067,0.9515839,0.1070402,0.005600268,0.001835053,0.007296431,0.7773591,0.9708268,0.3066895,0.006490993,0,0,0.2205461,0,0.9633586,1.131705,0.1082009,0.00301765,0.4210805,0.000424083,0.931,0.002049237,0,0.002315209,0.4822215,0.4127596,0.09879378,0.000604752,0.5471501,0.3296447,0.01247772,1.431696,0.04774125,0.003246452,0.9728329,0.05041493,0.000688245,0.01815098,0.00320442,0.02398369,0.04219216,0.06191863,0.000464246,0.01802484,0.002786907,0.06660863,0.000833142,0.001333942,0.01533485,0.05807737,0.05260584,0.1735403,0,0.02186772,0.000575171,0.1095887,1.527605,0.07180478,0.000407645,1.269492,0.02557471,0.001107013,0.000930393,0.04510026,0.000213226,0.000430088,0.01124266,0.009178053,0,1.698343,0.2593546,1.755752,0.9441912,0.6455566,0.9965522,0.4944988,0.5158929,0.07820152,0.6495137,0.4508663,0.02202774,0.007708756,0.03752385,0.01096607,0.01455578,1.131092,0.1690176,0.02297161,0.8758239,1.725925,0.1265637,1.060578,0.08923643,0.08620092,0.04406614,0.754458,0.0827556,0.03881897,0.02545024,1.126646,1.028834,1.17472,1,1.364771,1.086143,1.331155,1.299265,0.8932441,1.773333,0.5124378,1.671081,1.064211,2.781319,1.002938,1.070892
